BROCKHALL (THE OLD RECTORY),,,,,,,,,,,,
Grid ref,SP634626,Long,-1.072572,Lat,52.257925,,,,,,,
Station no,1112/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.12,1.52,0.68,,,,,,,,,
February,3.08,0.64,1.24,,,,,,,,,
March,3.47,2.44,1.11,,,,,,,,,
April,2.81,1.81,2.03,,,,,,,,,
May,2.53,2.07,,,,,,,,,,
June,1.07,1.19,,,,,,,,,,
July,1.14,0.33,,,,,,,,,,
August,5.21,3.58,,,,,,,,,,
September,1.43,2.04,,,,,,,,,,
October,0.74,3.32,,,,,,,,,,
November,4.84,2.64,,,,,,,,,,
December,1.84,2.74,,,,,,,,,,
Total,30.28,24.32,,,,,,,,,,
Calc annual,30.28,24.32,5.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
