REIGATE-HARTSWOOD (Dovers Lodge),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ258478,Long,-0.2002136,Lat,51.215552,Elevation,192,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,0.46,1.58,1.81,2.9,2.8,2.18,3.9,2.55,1.03,1.72,3.18,3.02,0.62,1.95,4.77,1.95,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,3.32,3.34,1.45,4.14,2.43,3.72,0.43,0.71,1.32,2.84,0.88,0.26,1.12,3.71,2,0.26,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,1.1,2.21,1.8,1.19,1.83,1.81,1.9,1.64,4.22,2.56,2.48,2.22,1.35,0.7,1.39,1.55,3.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,1.67,0.48,3.16,1.32,1.6,1.57,1.78,2.19,2.01,2.65,2.54,0.64,1.21,0.06,1.85,1.77,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,0.52,1.65,1.67,1.93,0.46,2.77,4.41,1.69,1.03,2.29,1.58,2.05,1.24,0.55,1.57,0.37,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,3.22,1.51,2.67,2.09,2.36,1.9,0.88,0.65,5.24,0.93,2.49,1.73,4.08,1.07,2.46,0.24,3.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,4.55,2.08,3.06,2.54,1.49,0.34,2.9,0.81,4.58,1.96,4.97,3.69,1.56,2.44,4.5,5.27,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,0.96,4.37,1.55,0.56,0.84,0.95,1.49,2.76,2.19,2.93,2.92,4.72,3.31,0.69,2.4,2.78,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,5.67,2.85,3.12,4.05,3.19,4.84,2.12,2.74,0.65,0.8,0.93,1.54,2.69,1.65,1.96,0.44,8.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,6.63,2.8,5.92,2.83,1.37,4.11,2.89,1.6,1.74,4.71,1.16,7.04,4.05,3.87,4.44,2.94,4.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
