"BESSBROOK, DERAMORE",,,,,,,,,,
Grid ref,IJ055279,Long,-6.383681094,Lat,54.18950241,Elevation,252,ft,,
Station no,RR7981,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,2.81,3.89,6.28,1.11,3.86,2.89,1.37,,
February,,3,4.04,2.11,3.98,4.57,3.36,1.27,,
March,,1.23,4.83,3.91,4.38,0.81,1.38,2.98,,
April,,2.37,1.53,4.07,1.57,2.4,3.23,2.8,,
May,,2.11,0.96,3.94,2.3,1.37,6.13,3.52,,
June,,2.27,5.15,4.37,1.23,2.18,2.02,1.36,,
July,,3.13,2.66,1.66,2.15,3.76,2.84,2.21,,
August,,1.95,6.27,0.67,3.3,3.48,2.7,6.66,,
September,,0.97,0.44,4.03,0.93,1.37,0.86,1.93,,
October,,3.92,2.29,4.29,1.87,3.99,6.77,4.06,,
November,,4.06,3.1,3.84,4.78,2.05,3.77,4.24,,
December,,6.23,4.79,3.24,9.38,5.43,2.12,2.85,,
Total,,34.05,39.95,42.41,36.98,35.27,38.07,35.25,,
