NANT-Y-BWCH-SHON-SHEFFREYS-WELL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO131116,Long,-3.2615086,Lat,51.796272,Elevation,1204,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR7384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,,,7.73,1.68,7.64,9.44,3.62,5.26,4.25,2.09,5.56,7.52,6.96,7.36,5.98,3.81,7.95,9.03,9.81,8.43,14.27,,
February,,,,,,,,,,,8.26,5.55,4.92,3.5,7.99,9.18,7.13,1.29,3.71,3.95,2.6,0.25,7.75,11.51,0.55,11.89,6.38,6.34,6.03,,
March,,,,,,,,,,,2.28,2.49,10.93,10.81,8.55,1.3,3.39,3.19,3.1,6.75,7.09,6.39,5.27,2.05,3.31,1.07,2.21,8.21,6.93,,
April,,,,,,,,,,,5.6,3.46,0.47,9.25,2.41,1.55,3.1,2.75,2.58,2.78,9.39,1.02,4.69,3.99,6.02,5.05,4.24,2.63,2.03,,
May,,,,,,,,,,,2.95,1.82,2.01,4.07,3.04,3.33,4.1,4.11,2.44,0.49,3.89,1.68,1.06,3.78,6.83,7.12,4.49,2.6,1.06,,
June,,,,,,,,,,,6.02,3.46,7.04,2.4,2.69,1.33,3.32,3.46,1.63,1.91,4.33,0.39,1.42,0.95,3.08,0.01,2.87,7.01,5.45,,
July,,,,,,,,,,,4.33,0.54,5.76,0.79,6.19,5.27,1.7,3.25,5.69,1.79,6.41,2.58,6.37,2.96,8.36,3.31,3.64,8.06,3.47,,
August,,,,,,,,,,,7.88,3.23,13.17,2.26,4.3,2.57,5.72,8.72,2.73,3.48,2.08,5.01,3.89,4.6,6.92,6.09,6.94,10.76,5.92,,
September,,,,,,,,,,,0.94,4.51,1.5,3.68,2.43,1.03,2.7,3.43,9.95,2.91,4.88,2.45,3.36,5.12,11.12,5.27,3.15,9.65,2.07,,
October,,,,,,,,,,,5.42,6.33,6.85,7.94,3.73,4.9,11.64,7.7,3.59,2.46,5.69,2.56,1.62,10.05,8.84,8.81,6.94,6.55,12.67,,
November,,,,,,,,,,,6.93,10.05,4.37,7.76,7.03,3.99,5.62,3.08,4.59,4.12,2.44,4.67,2.24,4.6,5.8,3.84,14.55,6.87,9.11,,
December,,,,,,,,,,11.36,11.3,17,9.81,2.82,9.53,11.69,3.97,1.53,8.72,10.49,7.25,4.44,7.82,4.76,10.32,5.55,0.77,4.53,6.42,,
Total,,,,,,,,,,,69.64,60.12,74.47,64.72,61.51,51.4,56.64,44.6,54.29,48.65,63.01,38.8,51.47,58.18,79.1,67.04,65.99,81.64,75.43,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is a well near Shon Sheffrey Reservoir.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stated altitude is 25 ft. too high or the gauge is 100m N to match altitude.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
