HUNTLY-RECTORY,,,,,,,,,,
Grid ref,SO717193,Long,-2.4124517,Lat,51.871549,Elevation,200,ft,,
Station no,RR7014,,,,,,,,,
,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,2.06,2.02,5.97,4.87,3.55,4.32,1.69,6.05,,
February,2.2,2.29,3.11,1.25,2.37,1.02,2.82,1.82,,
March,1.52,1.7,2.65,3.21,0.46,1.79,3.58,1.12,,
April,0.63,3.1,2.87,0.65,1.91,2.4,3.24,3.35,,
May,1.93,1.03,1.12,1.82,0.55,1.34,0.72,2.77,,
June,0.66,2.93,5.28,3.46,1.12,2.39,0.27,1.55,,
July,1.22,4.04,6.23,2.43,1.41,6.03,0.66,3.23,,
August,1.42,1.15,2.31,1.77,2.83,1.64,2.96,4.19,,
September,1.54,6.44,1.6,1.69,4.89,3.1,6.53,2.4,,
October,4.46,2.69,3.8,1.67,2.44,6.53,2.03,2.4,,
November,2.92,0.77,5.62,1.77,2.79,6.07,4.62,3.77,,
December,1.98,2.28,4.07,0.56,2.81,1.67,8.12,1.69,,
Total,22.54,30.44,44.63,25.15,27.13,38.3,37.24,34.34,,
