CASTLE BROMWICH HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP142897,Long,-1.792229,Lat,52.505015,Elevation,364,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,0.4,0.77,2.2,3.7,2.86,1.89,2.98,3.44,0.94,0.82,3.29,2.5,1.51,2.04,1.74,3.75,1.37,2.54,,,,,,,,,3.53,1.09,0.76,1.25,2.48,0.82,3.53,3.73,1.22,,,,,
February,2.86,3.53,2.52,3.72,1.58,3.41,0.91,0.65,0.73,1.83,0.71,0.07,1.31,3.16,2.65,0.23,0.67,3.2,,,,,,,,,2.23,0.97,1.45,0.7,2.54,1.63,1.64,1.23,2.41,,,,,
March,1.37,2.36,1.93,1.31,2.21,1.26,2.7,1.66,2.65,3.24,1.6,1.35,0.95,0.54,1.27,2.2,2.93,3.07,,,,,,,,,1.14,1.04,3.19,2.96,0.68,1.78,3.92,4.84,3.04,,,,,
April,1.5,0.91,3.67,1.29,2.13,2.62,2.1,1.27,2.58,3.62,0.77,2.06,1.23,0.44,1.8,2.17,1.51,2.02,,,,,,,,,1.05,2,2.97,1.71,2.83,0.86,0.32,3.75,1.15,,,,,
May,1.64,1.59,3.07,2.01,0.82,2.77,6.48,1.88,0.82,4.82,2.09,4.06,1.66,1.65,2.77,0.88,0.38,1.3,,,,,,,,,2.35,4.49,3.09,1.52,2.05,0.88,2.75,2.98,1.76,,,,,
June,2.64,2.47,3.9,4.07,2.44,3.74,1.78,2.03,1.77,1.32,1.63,2.44,2.29,1.22,2.32,1,2.97,3.81,,,,,,,,,2.71,3.41,2.3,3.62,0.96,1.46,5.18,1.35,2.42,,,,,
July,5.9,1.65,4.47,2.84,3.46,0.16,3.12,1.12,6.89,1.6,2.23,2.45,2.18,2.05,3.62,4.04,1.47,0.89,,,,,,,,,1.09,3.11,3.01,3.08,2.76,0.31,4.31,1.69,4.95,,,,,
August,1,5.33,2.31,1.1,1.77,3.04,1.88,1.59,2.81,2.96,2.61,3.91,2.8,1.31,2.66,2.28,1.92,5.36,,,,,,,,,1.04,2.38,1.79,2.33,4.36,1.99,6.77,0.91,1.87,,,,,
September,5.5,1.66,2.57,5.32,1.46,3.71,2.92,2.31,1.3,2.31,1.17,1.44,3.05,1.63,2.32,0.52,5.21,2.36,,,,,,,,,1.09,0.86,2.85,2.87,0.94,1.41,0.99,2.22,1.31,,,,,
October,6.64,3.82,6.23,3.02,1.74,5.08,3.45,2.25,0.44,3.03,1.59,5.84,2.76,2.67,3.68,3.06,2.81,1.46,,,,,,,,,4.83,5.21,2.06,3.69,2.64,2.13,2.42,3.2,1.78,,,,,
November,2.02,3.19,4.48,4.51,1.51,3.51,2.02,2.15,4.35,1.2,3.62,2.91,1.75,1.75,2.63,4.35,1.53,2.13,,,,,,,,,2.09,2.15,1.9,1.01,4.06,2.57,2.34,2.83,3.9,,,,,
December,3.39,2.88,3.79,1.03,2.49,0.97,4.3,1.56,2.37,1.75,0.84,3.2,1.77,3.05,2.41,2.12,3.73,3.1,,,,,,,,,1.63,3.12,1.94,4.17,5.46,5.13,3.96,1.78,6.23,,,,,
Total,34.86,30.16,41.14,33.92,24.47,32.16,34.64,21.91,27.65,28.5,22.15,32.23,23.26,21.51,29.87,26.6,26.5,31.24,,,,,,,,,24.78,29.83,27.31,28.91,31.76,20.97,38.13,30.51,32.04,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_07_pt4-page-046.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_13_pt1-page-051.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_16_pt1-page-155.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_15_pt1-page-241.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
