BISHOPSTOKE (CHURCH ROAD),,,,,,,,,,,,
Grid ref,SU466196,Long,-1.337656,Lat,50.973936,,,,,,,
Station no,703/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,1.68,3.32,4.74,2.64,4.11,3.54,3.82,,
February,,,,2.55,1.77,0.09,4.56,1.87,0.10,2.70,,
March,,,,3.11,1.17,0.64,2.23,1.69,3.58,2.36,,
April,,,,0.37,0.41,1.22,0.10,0.50,2.42,1.13,,
May,,,,2.05,4.87,0.19,1.34,1.97,0.70,0.97,,
June,,,,3.11,2.73,2.16,1.47,3.39,0.80,2.83,,
July,,,,2.70,2.17,3.26,4.35,1.79,2.11,3.90,,
August,,,,3.73,0.53,3.64,3.00,3.54,1.95,5.60,,
September,,,,3.73,1.65,3.66,3.19,5.15,0.07,4.96,,
October,,,,3.40,4.43,2.89,2.38,3.16,2.79,8.11,,
November,,,,5.48,2.52,0.76,2.85,2.98,3.56,5.25,,
December,,,,3.09,4.04,5.46,2.64,4.25,6.86,3.39,,
Total,,,,35.00,29.61,28.71,30.75,34.40,28.48,45.02,,
Calc annual,0.00,0.00,0.00,35.00,29.61,28.71,30.75,34.40,28.48,45.02,,
Difference,NaN,NaN,NaN,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
