BANBURY-BROUGHTON-LODGE,,,,,,,,,,,,,,,,,,,,
Grid ref,SP418385,Long,-1.3919578,Lat,52.043328,Elevation,360,ft,,,,,,,,,,,,
Station no,RR6462,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,,3.2,3.8,1.19,1.05,4.45,2.61,2.35,2.85,1.68,3.79,1.41,2.34
February,,,,,,,,,1.89,2.28,2.21,1.05,1.99,1.94,2.13,0.92,2.36,1.55,1.57,2.82
March,,,,,,,,,1.72,1.65,1.79,1.09,2.14,2.39,0.96,0.86,3.4,2.06,0.64,0.9
April,,,,,,,,,1.91,1.25,0.67,2.74,2.26,0.44,1.52,2.18,2.74,2.47,2.2,2.87
May,,,,,,,,,0.81,4.71,1,1.02,1.52,2.55,2.27,2.07,0.43,3.45,5.05,2.77
June,,,,,,,,,0.57,1.33,0.54,3.61,3.36,3.96,0.63,2.72,2.1,0.66,2.32,4.37
July,,,,,,,,,0.49,0.37,0.99,3.76,3.72,2.23,1.95,5.82,0.79,4.36,1.43,3.31
August,,,,,,,,2.98,3.24,0.86,2.12,1.05,2.42,2.8,2.08,1.27,3.33,3.94,4.48,4.29
September,,,,,,,,1.71,3.02,3.67,1.02,5.91,1.6,1.59,2.89,2.69,5.12,2.16,1.46,3.03
October,,,,,,,,3.28,2.56,1.15,3.87,1.16,3.67,1.91,3.72,7.98,1.25,1.52,2.86,0.61
November,,,,,,,,0.57,2.36,2.16,1.89,0.87,4.96,1.2,2.67,5.03,3.5,2.76,3.62,0.77
December,,,,,,,,1.55,5.36,4.38,2.24,1.34,4.16,0.85,1.93,1.3,5.72,1.83,1.49,0.58
Total,,,,,,,,,27.13,27.61,19.53,24.65,36.25,24.47,25.1,35.69,32.42,30.55,28.53,28.66
