SOMERFORD-KEYNES-MANOR-HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU016955,Long,-1.9782678,Lat,51.658283,Elevation,300,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,2197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,2.08,4.51,3.24,3.9,0.93,3.85,1.8,3.08,1.82,2.38,0.61,2.78,3.82,2.91,4.81,2.65,3.07,3.17,4.95,1.59,1.93,,,,,
February,,,,,,3.21,2.18,3.56,2.46,0.7,0.58,1.76,0.04,3.42,0.25,2.07,1.98,3.97,0.83,1.53,2.58,3.19,0.65,1.23,0.59,2.26,,,,,
March,,,,,,0.45,0.57,2.62,2.83,0.16,1.91,0.31,2.29,2.74,2.07,0.61,1.76,3.19,0.25,1.99,2.4,2.55,2.4,1.07,0.2,0.91,,,,,
April,,,,,,1.74,2.6,1.8,1.21,0.91,2.44,2.49,2.44,1.26,1.68,4.19,1.68,2.91,0.1,3.03,1.89,1.17,1.51,0.74,1.98,0.96,,,,,
May,,,,,,2.91,3.47,0.69,0.95,2.33,1.15,3.7,6.04,2.03,0.76,1.26,0.97,1.9,2.11,1.06,0.83,1.63,4.26,3.05,1.83,2.33,,,,,
June,,,,,,0.08,1.44,3.34,2.75,1.3,1.06,4.3,1.09,1.64,1.2,4.05,2.11,1.62,1.81,2.02,0.57,1.31,0.26,1.9,2.13,3.35,,,,,
July,,,,,,3.18,1.65,3.2,2.3,1.03,2.87,3.33,4.67,1.9,1.81,0.77,4.51,2.13,2.06,4.93,3.79,3.04,2.68,1.4,1.75,1.65,,,,,
August,,,,,,2.55,1.92,3.76,1.62,2.12,3.47,6.27,0.8,1.2,2.08,1.86,0.38,0.33,3.43,2.31,0.11,4.17,5.13,2.89,3.45,2.42,,,,,
September,,,,,,3.18,0.97,5.14,1.03,0.39,3.5,1.9,3.13,3.45,2.89,5.25,3.39,1.79,3.07,1.05,1.2,0.52,1.49,1.49,3.37,1.41,,,,,
October,,,,,,3.37,2.76,1.68,4.37,4.52,2.02,0.51,5.11,2.78,1.73,4.49,1.44,3.38,4.03,3.67,3.55,2.56,4.5,2.78,3.76,3.51,,,,,
November,,,,,,2.01,6.18,2.34,2.73,6.15,3.66,3.87,1.91,0.88,1.34,5.72,2.69,1.49,2.75,5.78,7.49,2.68,1.97,1.47,4.87,0.39,,,,,
December,,,,,,3.03,0.32,3,2.71,5.97,3.15,1.94,0.9,0.44,5.35,3.34,2.63,1.91,2.56,2.06,1.33,2.04,3.59,1.34,1.93,4.65,,,,,
Total,,,,,,27.79,28.57,34.37,28.86,26.51,29.66,32.18,31.5,23.56,23.54,34.22,26.32,28.44,25.91,34.24,28.39,27.93,31.61,24.31,27.45,25.77,,,,,
