SURBITON-TANDRIDGE-HOUSE,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ183678,Long,-0.30091887,Lat,51.39691,Elevation,75,ft.,,,,,,,,,,,,
Station no,RR8638,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,3.6,0.79,1.65,0.86,1.75,1.24,3.08,2.72,,,,,,
February,,,,,,,1.61,1.4,1.13,0.39,2.82,1.06,1.57,0.83,,,,,,
March,,,,,,,1.16,0.69,2.76,3.21,1.17,1.67,2.55,2.42,,,,,,
April,,,,,,,0.42,3.17,2.31,1.52,1.15,1.84,0.25,,,,,,,
May,,,,,,,1.22,1.95,1.52,1.75,1.71,1.3,1.32,,,,,,,
June,,,,,,,2.54,2.16,2.6,4.24,2.6,3.35,3.9,,,,,,,
July,,,,,,,0.64,1.33,2.73,3.48,3.06,0.8,1.37,,,,,,,
August,,,,,,,0.85,2.33,3,1.31,2.89,1.21,5.34,,,,,,,
September,,,,,,,2.04,0.47,1.99,2.2,1.11,1.2,1.28,,,,,,,
October,,,,,,,3.55,3.59,2.01,3.8,2.41,2.7,3.53,,,,,,,
November,,,,,,,3.68,2.22,0.63,1.07,2.86,3.39,1.91,,,,,,,
December,,,,,,,1.94,2.95,1.91,2.57,4.14,4.96,2.77,,,,,,,
Total,,,,,,,23.25,23.05,24.24,26.4,27.67,24.72,28.87,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is on Avenue Elmers with the stated relationships to church and station.,,,,,,,,,,,,,,,,,,,,
"Tandrige House in on Avenue Elmers, but not sure where.",,,,,,,,,,,,,,,,,,,,
"No stated altitude, OS figure used. NGR could be +/- 100m.",,,,,,,,,,,,,,,,,,,,
580m from KINGSTON PALACE ROAD and covers earlier years and has same observer.,,,,,,,,,,,,,,,,,,,,
