"NETHERHALL, MARYPORT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY042366,Long,-3.48863,Lat,54.71525,Elevation,27,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,3.71,4.62,3.86,2.64,4.42,6.37,4.1,3.09,1.64,7.07,3.4,0.89,0.83,0.21,1.8,4.79,5.39,2.47,3.47,2.26,1.56,2.82,6.74,2.69,3.05,1.1,3.75,2.19,2.34,1.07,2.87,5.83,2.91,2.46,2.56,3.52,2.97,1.7,4.67,1.66,4.25,,,,,,,,,,,
February,,,,,,,,,3.57,5.24,2.71,2.75,3.17,0.51,2.67,1.28,2.64,2.62,2.33,2.03,3.17,2.75,2.02,2.49,4.45,6.5,1.54,2.63,0.61,2.15,0.77,0.45,1.31,4.56,6.3,0.22,2.23,2.48,3.22,2.83,4.39,1.41,1.17,4.33,3.72,2.6,2.09,2.19,3,,,,,,,,,,,
March,,,,,,,,,4.89,0.73,1.68,2.28,2.91,3.28,2.13,0.89,2.63,2,1.11,1.93,1.07,2.69,2.72,1.64,3.31,3.9,3.62,1.21,2.79,3.14,2.65,1.32,1.18,0.55,1.53,3.28,5.42,4.14,1.23,3.4,1.43,2.1,1.71,5.25,3.44,3.19,2.52,4.1,4.09,,,,,,,,,,,
April,,,,,,,,,2.6,2.21,1.5,2.72,2.13,0.4,1.13,1.26,2.89,2.49,1.33,1.02,2.66,0.84,3.01,2.31,1.27,3.04,2.05,2.83,1.66,2.09,0.81,1.09,0.72,0.5,2.22,1.87,1.26,1.76,2.6,2.87,1.5,2.92,1.26,1.64,2.78,1.66,1.14,2.03,1.9,,2.24,,,,,,,,,
May,,,,,,,,,2.01,2.11,2.65,0.84,2.6,1.49,0.98,1.82,0.39,2.63,1.91,1.8,0.85,2.76,1.69,1.56,3.19,1.86,5.01,1.82,1.66,3.23,2.94,1.7,3.45,1.36,3.77,0.25,0.51,1.75,2.22,3.04,2.77,0.84,1.94,2.74,2.76,3.01,4.68,3.93,3.44,,2.49,,,,,,,,,
June,,,,,,,,,0.91,1.27,2.2,1.58,4.57,1.79,1.18,3.2,3.57,2.77,3.36,2.09,1.67,1.98,3.35,2.72,0.61,1.44,0.86,0.69,1.6,0.98,3.67,1.21,3.92,1.02,5.49,1.02,2.64,3.99,0.98,1.41,1.5,0.33,1.74,1.33,1.9,1.91,1.6,5.81,3.12,,1.4,,,,,,,,,
July,,,,,,,,,0.91,1.47,0.86,2.52,4.37,1.62,2.48,2.96,2.15,4,0.65,6.07,2.98,4.94,5.77,1.81,5.02,2.91,4.79,2.05,5.37,2.31,3.31,1.38,1.05,3,3.81,4.09,2.69,2.27,0.81,3.13,2.06,0.82,3.6,4.29,2.4,1.87,2.23,2,3.3,,3.53,,,,,,,,,
August,,,,,,,,,3.38,1.39,1.94,2.7,3.26,4.7,6.91,3.14,3.3,5.08,4.11,3.04,0.47,5.63,2.79,2.76,2.31,1.83,2.51,1.89,2.73,4.4,2.72,5.29,8.6,5,3.91,5.47,4.32,4.92,5.86,1.11,7.45,1.77,2.29,6.73,5.68,3.19,5,4.45,4.66,,5.07,,,,,,,,,
September,,,,,,,,,2.04,6.47,3.3,1.82,4.61,2.07,3.92,5.17,4.46,2.8,4.03,3.48,3.75,1.77,2.96,3.54,5.22,5.27,5.98,4.69,1.73,2.46,4.6,5.77,6.53,3.94,0.05,1.39,4.93,4.59,3.15,5.73,2.86,0.57,1.33,4.3,1.95,3.02,1.45,0.36,3.56,,0.88,,,,,,,,,
October,,,,,,,,,4.39,3.1,5.69,3.4,7.19,2.69,7.14,2.44,3.34,5.04,3.3,1.4,2.36,1.94,3.8,3.52,3.3,4.31,5.19,3.17,3.08,4.1,2.96,4.71,3.54,4.28,4.46,3.28,4.03,2.2,3.75,3.71,7.17,2.93,2.84,8.59,2.97,2.41,4.95,7.69,1.74,,1.83,,,,,,,,,
