IWERNE-MINSTER-HOUSE-GDNS-(MAIN-5-INCH-GAUGE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST864145,Long,-2.19409,Lat,50.93032,Elevation,244,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR6067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,,1.77,3.88,1.6,5.27,6.65,0.9,3.8,1.27,1.14,3.99,6.07,4.53,3.22,5.16,1.69,4.21,4.68,5.28,2.99,3.93,1.66,
February,,,,,,,,,,0.43,4.95,1.81,3.23,0.72,5.34,7.67,7.14,1,1.37,3.23,0.7,0.32,3.38,8.56,,5.54,2.04,4.35,2.38,1.54,
March,,,,,,,,,,5.67,1.03,2.78,5.68,3.6,4.95,0.81,3.88,3.34,1.57,5.36,2.75,1.71,3.94,1.95,,0.92,0.8,4.3,2.52,0.18,
April,,,,,,,,,,2.64,2.31,2.1,0.12,3.55,1.3,1.56,0.84,1.97,2.61,2.23,4.98,0.85,4.05,3.28,3.8,3.07,3.95,2.2,1.72,0.98,
May,,,,,,,,,,1.27,1.87,1.34,1.36,3.4,1.75,2.49,2,3.7,1.59,0.4,1.38,1.85,1.02,1.62,,3.23,2,1.32,1.79,2.48,
June,,,,,,,,,,3.47,4.15,2.72,4.63,0.78,1.35,0.59,2.32,2.07,0.9,0.92,2.39,0.42,0.85,0.47,,0,3.06,2.71,2.87,1.6,
July,,,,,,,,,,3.38,2.95,0.24,4.04,0.85,5.25,3.89,2.08,2.74,5.27,1.85,5.12,0.58,4.51,1.11,3.31,2.56,1.69,2.41,1.2,1.11,
August,,,,,,,,,,2.41,2.6,0.94,7.29,1.98,3.39,2.87,4.65,5.49,2.5,3.85,1.97,1.76,3.51,2.47,3.6,3.1,1.27,3.66,3.07,1.14,
September,,,,,,,,,,2.99,0.22,1.57,2.17,3.9,1.96,1.41,2.73,1.43,5.84,1.64,1.52,0.73,1.93,3.03,4.21,4.24,0.52,5.68,1.7,0.46,
October,,,,,,,,,,8.41,4.78,3.42,4.83,3.75,3.04,6.56,6.63,4.02,1.66,1.71,3.19,1.6,1.62,5.93,5.13,4.56,2.36,3.11,6.65,5.93,
November,,,,,,,,,,0.16,4.23,3.46,2.09,3.77,6.27,2.37,6.67,1.07,3.38,3.3,1.64,2.37,1.81,2.33,4.65,3.43,10.26,3.61,3.2,9.92,
December,,,,,,,,,,4.66,7.91,10.95,4.84,2.1,8.61,8.03,5.29,0.67,2.98,6.51,3.11,2.49,4.99,3.56,6.24,4.11,0.57,3.51,2.44,8.86,
Total,,,,,,,,,,37.26,40.88,32.93,45.55,35.05,44.11,42.05,45.5,28.64,33.66,37.07,33.28,17.9,36.77,36,,39.44,33.8,39.85,33.47,35.86,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gardens very large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR given averages distance to church SE altitude and distance to building that might be sport court,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924 Feb Mar May June Part estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
