OAKHAM-GREETHAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK925145,Long,-0.6319526,Lat,52.720255,Elevation,377,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,1.33,4.05,,,,,,,,,2.4,3.62,1.68,1.48,0.3,0.66,1.85,2.59,2.13,1.55,3.06,1.99,1.01,1.55,2.31,1.89,1.33,1.54,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,1.97,1.78,,,,,,,,,2.38,2.05,1.57,2.21,2.18,3.65,1.7,3.29,0.98,2.45,0.29,0.61,2.31,1.84,1.07,0.11,1.81,2.46,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,1.07,2.54,,,,,,,,,2.46,1.66,0.74,0.63,1.49,1.51,0.98,1.04,1.18,0.89,2.29,1.79,2.28,2.29,2.27,1.28,1.19,0.3,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,0.84,2.61,,,,,,,,,4.43,3.83,1.77,2.51,1.97,0.96,3.55,2.83,1.51,1.63,1.54,1.03,2.74,2.83,0.87,1.52,0.96,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,1.25,2.99,,,,,,,,,1,1.88,3.55,3.54,1.15,0.68,1.91,1.78,1.3,2.06,4.36,1.89,1.02,5.21,2.53,3.08,1.91,1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,1.69,2.98,1.19,,,,,,,,,2.23,1.03,1.51,4.38,3.16,2.03,3.86,3.22,0.87,2.33,1.03,0.85,2.93,0.48,1.72,2.73,2.17,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,3.79,3.25,2.22,,,,,,,,6.99,0.51,3.17,1.67,4.1,5.81,2.09,3.04,3.25,4.32,0.16,2.85,0.58,4.2,2.12,2.11,3.08,2.41,3.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,2.55,3.65,2.5,,,,,,,,3.54,2.18,2.7,5.63,2.05,1.9,5.48,2,1.14,1.58,2.36,1.85,0.65,1.96,3.15,2.07,3.43,1.62,2.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,0.37,4.12,1.82,,,,,,,,2.29,5.7,1.59,1.33,3.23,4.04,2.28,2.71,5.57,1.14,2.74,1.11,2.14,0.89,2.51,0.63,1.26,2.46,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,4.36,2.38,1.97,,,,,,,,4.96,1.69,1.31,2.39,0.64,6.85,3.27,5.25,2.02,1.29,5.61,4.6,1.98,0.52,3.3,1.1,4.71,4.48,2.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
