EGGLESTON (WOOD HILL),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ028230,Long,-1.958173,Lat,54.602167,Elevation,1000,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,3519/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,3.02,1.44,,4.16,4.15,5.01,1.7,4.08,3.42,4.34,2.82,4.81,1.69,3.03,8.45,1.31,2.25,2.81,2.71,0.78,3.23,2.9,3.88,3.66,2.52,2.63,5.78
February,,,,0.22,6.25,,3.94,1.42,2.26,3.13,3.94,1.74,1.79,2.95,2.87,2.46,3,3.09,2.34,5.85,3.84,0.52,2.02,2.41,2.94,2.33,3.04,5.15,0.34,3.46
March,,,,4.96,1.24,3,4.11,1,3.72,2.95,3.19,1.88,1.59,0.31,1.15,2.02,6.84,1.85,1.4,1.27,4.17,1.97,0.34,1.86,2.23,1.78,1.66,3.24,1.35,2.77
April,,,,4.13,3.76,,2.81,0.3,1.38,1.6,2.23,1.35,1.86,1.62,2.81,1.02,5.83,2.6,2.13,2.28,2.79,1.09,2.74,0.81,0.5,0.96,0.43,2.07,2.52,1.98
May,,,,2.12,0.49,2.08,3.05,2.92,0.81,1.25,1.4,1.84,3.67,1.48,3.33,2.3,2.16,1.26,0.94,1.6,4.02,1.21,2.63,4.71,2.57,0.86,2,3.96,0.36,2.36
June,,,,1.82,1.92,3.35,1.28,3.2,2.3,0.39,0.4,0.68,2.56,1.86,2,1.73,3.28,4.04,1.19,1.41,0.78,1.26,3.26,2.63,2.34,2.96,1.2,3.76,1.84,0.71
July,,,,1.71,0.63,2.34,1.86,2.72,4.35,4.68,1.13,2.23,2.08,4.61,1.75,3.52,3.05,1.42,2.88,3.63,1.2,1.49,2.71,1.59,1.2,3.14,3.85,2.9,1.49,4.65
August,,,,1.91,1.08,,1.41,2.39,4.22,0.65,2.75,2.76,4.85,1.42,3.66,4.85,0.29,3.98,2.08,5.21,3.59,2.42,4.15,4.84,1.59,8,5.17,3,0.74,2.35
September,,,,1.79,6.98,5.03,2.11,1.49,1.36,2.22,0.15,2.28,3.55,5.88,1.68,5.41,2.99,3.04,2.44,4.4,1.48,4.25,2.39,4.2,1.56,3.85,4.22,3.08,1.21,2.75
October,,,3.69,4.79,5.41,3.08,2.6,6.72,7.18,4.17,4.41,2.45,3.34,3.52,4.71,1.12,1.05,1.93,4.45,1.84,1.49,3.65,2.36,6.36,1.74,1.73,2.95,2.25,2.1,7.84
November,,,3.56,2.32,5.79,3.78,1,3.69,4.07,4.72,4,1,2.48,7.85,1.12,6.85,4.02,1.81,5.05,6.81,8.88,3.13,2.7,6.23,2.3,1,2.53,0.71,5.43,4.56
December,,,1.61,4.97,2.19,3.63,4.48,4.68,1.19,2.19,1.2,3.46,2.01,3.49,1.75,3.41,2.86,2.94,5.1,2.13,5.44,2.63,1.47,3.96,5.3,4.51,3.59,5.38,5.41,3.83
Total,,,,33.76,37.18,,32.81,34.68,37.85,29.65,28.88,25.09,34.12,37.81,31.64,36.38,38.4,36.41,31.31,38.68,40.49,26.33,27.55,42.83,27.17,35,34.3,38.02,25.42,43.04
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936 Jan 4.6; Feb 2.62; April 1; Aug 1.95 - too many adjustments noted on record and therefore omitted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1947 Feb and Mar estimated for snow on record, left as is",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
