"DUKINFIELD LOWER RESERVOIR",,,,,,,,,,,,
Grid ref,SJ951973,Long,-2.075288,Lat,53.472409,,,,,,,
Station no,2745,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,2.72,1.69,,
February,,,,,,,,,2.64,1.89,,
March,,,,,,,,,2.29,2.59,,
April,,,,,,,,,3.43,2.96,,
May,,,,,,,,,2.12,1.80,,
June,,,,,,,,,1.92,2.40,,
July,,,,,,,,,4.41,5.45,,
August,,,,,,,,,2.37,3.01,,
September,,,,,,,,,3.77,2.53,,
October,,,,,,,,,1.10,5.38,,
November,,,,,,,,,2.36,1.23,,
December,,,,,,,,,2.42,5.80,,
Total,,,,,,,,,31.55,36.73,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.55,36.73,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,,
