"DALNASPIDAL (ALLT DUBHAIG)",,,,,,,,,,,,
Grid ref,NN641727,Long,-4.228503,Lat,56.825855,,,,,,,
Station no,RR4066,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,3.58,6.13,,
February,,,,,,,,,2.64,6.90,,
March,,,,,,,,,5.37,3.45,,
April,,,,,,,,,4.50,6.19,,
May,,,,,,,,,2.01,2.73,,
June,,,,,,,,2.14,3.93,2.89,,
July,,,,,,,,3.65,10.08,3.37,,
August,,,,,,,,6.12,2.90,3.72,,
September,,,,,,,,6.48,1.36,3.30,,
October,,,,,,,,5.89,4.28,5.17,,
November,,,,,,,,1.41,7.61,7.15,,
December,,,,,,,,6.16,8.62,7.53,,
Total,,,,,,,,,56.88,58.53,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.85,56.88,58.53,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
