DALNASPIDAL (ALLT DUBHAIG),,,,,,,,,,
Grid ref,NN641727,Long,-4.228503,Lat,56.825855,Elevation,1365,ft,,
Station no,5564/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,3.58,6.13
February,,,,,,,,,2.64,6.9
March,,,,,,,,,5.37,3.45
April,,,,,,,,,4.5,6.19
May,,,,,,,,,2.01,2.73
June,,,,,,,,2.14,3.93,2.89
July,,,,,,,,3.65,10.08,3.37
August,,,,,,,,6.12,2.9,3.72
September,,,,,,,,6.48,1.36,3.3
October,,,,,,,,5.89,4.28,5.17
November,,,,,,,,1.41,7.61,7.15
December,,,,,,,,6.16,8.62,7.53
Total,,,,,,,,,56.88,58.53
,,,,,,,,,,
Station no,5564/5,,,,,,,,,
Midas,15175,,,,,,,,,
Hyd stn,867886,,,,,,,,,
,RR4066,,,,,,,,,
