BARRY-WW-DINAS-POWYS-RES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST156722,Long,-3.215762,Lat,51.44248,Elevation,165,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,4052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,1.82,5.81,5.51,1.85,2.03,4.78,3.69,1.05,5.71,2.28,2.36,1.96,4.63,1.31,3.12,4.43,1.8,4.66,3.35,1.9,4.83,4.3,3.95,4.03,2.65,2.57,6.2,6.22,7.5,4.5,8.45,,5.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,2.32,3.4,5.26,0.73,1.17,1.58,4.72,0.95,2.78,1.49,1.99,0.71,4.15,2.73,2.13,2.08,2.52,3.93,5.66,1.4,2.33,4.36,1.75,0.85,3.76,6.9,0.45,5.6,3.2,3.35,4.6,,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,1.4,1.1,1.03,1.47,2.31,4.79,2.25,4.75,2.8,1.16,2.42,3.31,0.83,3.69,5.53,3.77,5.55,1.53,4,2.52,1.58,6.13,3.62,1.7,4.68,3.6,1.57,0.6,0.75,3.62,3.92,0.8,2.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,1.49,4.99,1.74,3.82,1.97,2.53,1.59,2.34,1.31,3.33,2.44,2.07,2.58,2.13,0.68,2.89,2.72,1.14,1.7,1.99,3.1,1.47,5.45,1.19,2.51,2.28,2.07,2.36,2.02,3.36,2.25,0.56,3.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,3.51,2.33,2.56,0.69,2.28,2.27,2.73,0.11,4.46,2.32,1.23,1.69,2.13,0.81,1.41,2.7,1.93,2.56,3.58,2.1,1.66,1.45,3.25,1.41,1.58,3.4,5.25,4.63,1.75,1.87,0.42,3.2,2.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,1.9,0.65,2.05,2.75,2.85,2.43,0.85,3.14,2.46,3.53,0.31,2.52,4.86,1.31,4.83,1.71,2.48,0.62,3.6,3.65,1.6,1.15,1.7,0.6,1.23,1.27,3.7,0.11,1.75,2.55,2.5,2.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,0.77,2.12,1.1,2.62,1.86,4.54,4.6,1.28,0.81,2.85,3.17,2.43,2.93,1.34,0.76,0.41,4.8,3.69,1.89,2.97,6.95,1.2,7.45,0.85,3.9,1.21,5.77,3.9,2.2,5.2,2.54,2.38,3.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,3.85,1.77,3.21,3.59,3.14,5.31,3.31,3.68,2.9,3.37,5.85,3.31,3.42,0.9,10.76,0.85,3.51,1.2,2.02,8.3,4.41,2.8,2.9,2.84,3.7,6.65,8.45,6.6,3.85,4.72,4.16,3.95,3.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,2.12,3.72,1.24,3.6,2.57,3.77,2.78,1.43,1.14,0.88,3.05,3.57,1.86,3.01,0.12,3.23,2.32,1.11,2,2.2,10.55,2.6,2.95,4.2,3.82,3.6,6.5,5.2,2.17,7.9,0.79,1.19,3.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,6.06,3.12,5.9,2.64,3.04,9.12,2.54,1.97,6.44,6.21,2.41,5.67,4.42,2.28,2.1,2.61,1.73,3.62,6.38,6.6,4,0.64,3.45,2.34,1,6.22,7.15,6.3,5.12,3.75,4.32,6.46,3.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
