"BARRY W. W. DINAS POWYS RESERVOIR",,,,,,,,,,,,
Grid ref,ST156722,Long,-3.215762,Lat,51.442480,,,,,,,
Station no,4052,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.51,1.85,2.03,4.78,3.69,1.05,5.71,2.28,2.36,1.96,,
February,5.26,0.73,1.17,1.58,4.72,0.95,2.78,1.49,1.99,0.71,,
March,1.03,1.47,2.31,4.79,2.25,4.75,2.80,1.16,2.42,3.31,,
April,1.74,3.82,1.97,2.53,1.59,2.34,1.31,3.33,2.44,2.07,,
May,2.56,0.69,2.28,2.27,2.73,0.11,4.46,2.32,1.23,1.69,,
June,2.05,2.75,2.85,2.43,0.85,3.14,2.46,3.53,0.31,2.52,,
July,1.10,2.62,1.86,4.54,4.60,1.28,0.81,2.85,3.17,2.43,,
August,3.21,3.59,3.14,5.31,3.31,3.68,2.90,3.37,5.85,3.31,,
September,1.24,3.60,2.57,3.77,2.78,1.43,1.14,0.88,3.05,3.57,,
October,5.90,2.64,3.04,9.12,2.54,1.97,6.44,6.21,2.41,5.67,,
November,4.69,1.12,3.79,2.37,3.16,3.34,3.68,2.59,1.70,0.41,,
December,5.74,5.76,3.00,3.13,2.94,2.05,2.38,6.37,2.50,7.94,,
Total,40.03,30.64,30.01,46.62,35.16,26.09,36.87,36.38,29.43,35.59,,
Calc annual,40.03,30.64,30.01,46.62,35.16,26.09,36.87,36.38,29.43,35.59,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
