HORSHAM-WESTBROOK-HALL,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ1381434531,Long,-0.37594065,Lat,51.098798,Elevation,170,ft,,,,,,,,,,,,
Station no,471/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,2.95,5.34,2.15,2.53,2.98,6.9,1.85,2.17,2.37,,,,
February,,,,,,,,0.78,1.75,4.03,3.45,0.76,1.95,0.69,2.03,1.47,,,,
March,,,,,,,,0.39,1.23,3.29,2.85,2.19,0.5,0.09,1.43,1.13,,,,
April,,,,,,,,0.02,2.3,1.51,1.51,1.45,1.14,1.79,0.96,2.25,,,,
May,,,,,,,,1.98,1.62,1.33,2.21,2.95,3.27,0.67,1.79,2.73,,,,
June,,,,,,,,0.69,1.15,0.33,2.77,0.17,1.64,1.57,2.72,2.57,,,,
July,,,,,,,,2.23,3.15,2.76,2.41,2.26,1.86,2.08,3.01,2.08,,,,
August,,,,,,,,2.1,2.22,0.14,3.87,2.75,1.29,1.87,1.63,5.87,,,,
September,,,,,,,,2.54,1.59,1.87,0.33,1.8,1.94,2.27,2.43,4.81,,,,
October,,,,,,,,3.5,6.26,3.82,1.19,3.75,4.09,3.35,3.52,1.27,,,,
November,,,,,,,2.05,4.18,5.05,7.52,3.7,1.63,1.36,4.83,0.15,5.28,,,,
December,,,,,,,3.71,4.03,1.74,1.77,2.35,3.32,2.14,2.63,3.63,3.21,,,,
Total,,,,,,,,25.39,33.4,30.52,29.17,26.01,28.08,23.69,25.47,35.04,,,,
