BISHOPS-SUTTON-(SUTTON-MANOR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU605320,Long,-1.13762,Lat,51.08414,Elevation,260,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,724/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,0.78,5.4,6.59,3.53,4.86,2.57,2.77,3.22,5.5,2.55,1.9,3.24,2.56,6.23,1.06,0.74,4.16,2.75,1.01,1.87,2.77,4.12,2.48,3.46,3.24,3.76
February,,,,,3.91,2.55,5.7,0.57,1.44,3.82,3.21,0.49,1.51,0.6,2.65,2.58,1.93,1.52,1.73,3.89,6.18,0.96,1.9,2.94,1.4,0.3,4.32,2.74,0.07,3.24
March,,,,,0.76,2.28,4.86,0.28,1.34,3.3,3.81,2.63,0.52,0.27,0.83,0.98,6.54,0.94,1.78,2,4.64,3.12,0.65,3.11,1.31,0.79,2.24,1.57,3.68,1.85
April,,,,,3.93,2.26,2.5,0.05,2.25,1.34,2.04,2.48,1.07,1.5,1.5,2.77,2.58,2.09,2.57,2.87,3.14,2.03,2.71,0.38,0.39,1.41,0.22,0.88,3,1.05
May,,,,,1.25,0.6,3.64,1.76,1.24,0.56,3.1,3.36,3.31,0.6,2.34,4.24,1.28,3.16,2.72,1.81,3.71,4.06,2.56,2.33,4.53,0.5,1.44,2.22,0.65,0.92
June,,,,,3.77,3.17,1.68,0.79,2.33,0.3,1.8,0.28,1.61,3.08,2.46,4.28,1.98,2.89,0.5,1.83,1.74,1.47,2.48,3.37,3.33,2.29,1.31,4.02,0.81,2.9
July,,,,,1.04,3.96,1.14,2.67,4.4,3.78,2.61,1.79,2.47,3.04,2.85,1.99,2.41,1.25,1.03,4.94,2.56,0.38,3.41,3.44,1.12,3.39,5.05,1.54,1.68,4.16
August,,,,,2.85,0.44,1.21,1.76,2.5,0.11,4.82,3.36,1.72,1.78,2.14,5.3,0.42,6.33,1.26,5.1,5.46,4.09,2.17,3.39,0.63,4.36,2.87,3.38,3.93,3.86
September,,,,,4.52,3.78,2.02,1.4,0.94,2.3,0.19,1.97,1.51,2.53,2,5.17,1.46,2.97,1.47,3.69,3.72,2.93,2.9,3.92,2.32,3.56,3.04,5.06,0.41,4.87
October,,,,,5.13,1.77,3.68,3.64,4.98,4.65,1.54,4.08,5.02,5.24,3.73,1.12,0.94,2.24,7.96,0.8,1.11,4.93,4.36,3.47,4.79,2.91,2.5,3.33,2.62,7.87
November,,,,,7.4,3.68,2.5,4.73,5.99,8.45,3.38,1.99,1.6,4.96,0.48,6.69,1.53,1.94,3.33,6.35,9.09,4.3,1.4,5.6,2.61,0.9,3.15,2.63,3.68,5.84
December,,,,,3.3,3.73,4.19,3.86,1.78,1.88,2.13,4.32,2.11,2.83,4.43,4.43,3.25,5.69,2.05,2.14,2.79,2.59,0.99,3.03,3.74,4.86,2.79,3.56,6.73,4.58
Total,,,,,38.64,33.62,39.71,25.04,34.05,33.06,31.4,29.97,27.95,28.98,27.31,42.79,26.88,37.25,27.46,36.16,48.3,33.61,26.54,36.85,28.94,29.39,31.41,34.39,30.5,44.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sutton Manor House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959 Nov Inspection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959 Dec Bush which was oversheltering gauge cut and gauge raised to 12in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Post 1960 known as BISHOPS SUTTON, SUTTON MANOR HOUSESRC_ID 7564",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station still in use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
