"NETHERWITTON (then  BEAL, BARMOOR CASTLE)",,,,,,,,,,
Grid ref,NZ101905,Long,-1.8428322,Lat,55.208648,Elevation,330,ft,,
Station no,RR4803,,,,,,,,,
,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,1.33,
February,,,,,,,,,1.03,
March,,,,,,,,,2.93,
April,,,,,,,,,2.99,
May,,,,,,,,,1.93,
June,,,,,,,,,2.28,
July,,,,,,,,,0.73,
August,,,,,,,,,2.46,
September,,,,,,,,,4.73,
October,,,,,,,,,6.74,
November,,,,,,,,,1.51,
December,,,,,,,,,1.77,
Total,,,,,,,,,30.43,
,,,,,,,,,,
"Gauge moved to Barmoor Castle, Beal 1899",,,,,,,,,,
