DOWNHAM-HIGH-STREET (NEW GAUGE),,,,,,,,,,,,,,,,,,,,
Grid ref,TF614032,Long,0.38184594,Lat,52.602614,Elevation,112,ft,,,,,,,,,,,,
Station no,1463/6,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,3.27,2.39,3.79,1.26,2.25,3.05,,,,,,,,
February,,,,,,,2.76,0.75,0.56,1.82,2.46,0.87,,,,,,,,
March,,,,,,,2.88,0.39,1.8,2.22,3.14,1.38,,,,,,,,
April,,,,,,,2.44,0.72,1.86,1.66,0.6,1.18,,,,,,,,
May,,,,,,,2.87,2,0.68,0.75,2.02,2.45,,,,,,,,
June,,,,,,,1.62,0.86,1.87,0.31,1.01,0.94,,,,,,,,
July,,,,,,,2,1.93,2.34,2.44,3.21,3.54,,,,,,,,
August,,,,,,,2.42,1.15,2.8,0.51,3.75,1.35,,,,,,,,
September,,,,,,,1.01,3.46,2.1,0.89,0.46,1.23,,,,,,,,
October,,,,,,1.32,1.83,2.27,3.95,1.76,1.65,2.81,,,,,,,,
November,,,,,,2.49,1.72,1.94,3.87,5.12,2.43,2.7,,,,,,,,
December,,,,,,1.35,2.7,3.06,1.33,1.78,0.64,2.13,,,,,,,,
Total,,,,,,,27.52,20.92,26.95,20.52,23.62,23.63,,,,,,,,
