DOWNHAM-HIGH-STREET (OLD GAUGE),,,,,,,,,,
Grid ref,TF614032,Long,0.38184594,Lat,52.602614,Elevation,112,ft,,
Station no,1463/5,,,,,,,,,
,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,2.68,,,,
February,,,,,1.45,2.12,,,,
March,,,,,0.52,0.66,,,,
April,,,,,1.96,1.49,,,,
May,,,,,0.48,1,,,,
June,,,,,2.65,3.25,,,,
July,,,,,0.91,4.63,,,,
August,,,,,0.53,0.95,,,,
September,,,,,3.82,2.33,,,,
October,,,,,2.32,1.27,,,,
November,,,,,2.69,2.07,,,,
December,,,,,1.76,1,,,,
Total,,,,,,23.45,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1935 Jan duplicate value removed,,,,,,,,,,
