DOWNHAM-HIGH-STREET,,,,,,,,,,,,,,,,,,,,,
Grid ref,TF603032,Long,0.36561813,Lat,52.60294,Elevation,16,ft,,,,,,,,,,,,,
Station no,1463,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,1.85,2.11,1.46,1.98,0.97,2.87,1.79,3.47,1.91,1.48,2.23,0.88,1.26,1.17,1.98,,,,,
February,,0.4,2.42,2.78,0.84,2.01,1.61,2.27,0.93,0.36,0.71,1.93,0.63,1.5,0.47,,,,,,
March,,0.72,1.83,1.57,0.67,1.16,0.27,1.57,1.26,0.18,1.03,0.5,1.36,2.11,1.45,,,,,,
April,,1.15,2.01,1.13,2.37,2.29,1.59,1.57,1.03,0.62,1.94,2.46,2.46,1.05,2.32,,,,,,
May,,0.9,0.81,1.43,3.24,1.77,2.06,0.82,1.6,1.38,3.08,3.12,4.61,1.44,0.62,,,,,,
June,,-999,1.34,0.44,1.63,0.56,2.49,3.78,2.14,0.78,0.7,1.54,0.69,2,1.24,,,,,,
July,,-999,4.26,2.3,1.6,1.13,1.43,1.98,2.11,2.89,4.47,2.35,2.54,1.58,1.56,,,,,,
August,,-999,2.42,1.8,1.56,1.93,1.09,3.08,1.66,0.89,2.09,3.96,2.58,0.73,1.77,,,,,,
September,,0.93,2.6,1.87,2.39,2.67,1.47,3.97,0.67,0.31,3.88,2.3,2.29,1.93,1.77,,,,,,
October,,1.54,0.99,2.79,3.57,2.25,1.92,1.63,3.12,2.59,0.59,0.9,3.37,2.9,1.8,,,,,,
November,,,1.19,1.3,1.97,1.81,3.28,2.73,2.2,3.5,3.07,2.32,1.3,1.7,1.13,,,,,,
December,,,1.91,2.8,1.57,2.03,0.53,1.53,1.9,3.37,1.71,0.8,0.51,0.46,3.41,,,,,,
Total,,,23.89,21.67,23.39,20.58,20.61,26.72,22.09,18.78,24.75,24.41,23.22,18.66,18.71,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1921 Jun Jul Aug -999 (2.27),,,,,,,,,,,,,,,,,,,,,
Gauge moved East 1 Feb 1935,,,,,,,,,,,,,,,,,,,,,
