WESTON-SUPER-MARE-KEWSTOKE,,,,,,,,,,,,,,,,,,,,
Grid ref,ST334633,Long,-2.95739,Lat,51.36551,Elevation,40,ft,,,,,,,,,,,,
Station no,RR8797,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,2.57,2.62,4.47,2.8,1.22,0.73,3.28,,,,,,,,,
February,,,,,2.62,2.9,0.97,0.65,1.11,1.5,0.59,,,,,,,,,
March,,,,,1.81,1.04,2.32,2.14,3.16,4.31,1.33,,,,,,,,,
April,,,,,2.17,2.76,2.31,1.35,1.48,3.47,1.68,,,,,,,,,
May,,,,,1.81,3.19,5.9,1.64,1.01,3.11,1.32,,,,,,,,,
June,,,,,2.14,2.11,0.72,0.61,3.42,0.62,4.15,,,,,,,,,
July,,,,,3.74,0.71,3.25,1.22,5.75,2.26,3.96,,,,,,,,,
August,,,,,2.71,1.85,2.29,1.56,2.51,2.83,4.29,,,,,,,,,
September,,,,,2.63,4.65,3.15,2.84,1.3,2.22,1.63,,,,,,,,,
October,,,,,0.76,5.56,5.06,2.96,1.61,3.21,1.94,,,,,,,,,
November,,,,,1.57,4.09,4.03,3.01,5.83,1.32,2.91,,,,,,,,,
December,,,,,4.95,1.42,4.35,2.71,3.41,2.26,1.42,,,,,,,,,
Total,,,,,29.48,32.9,38.82,23.49,31.81,27.84,28.5,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Vicarage,,,,,,,,,,,,,,,,,,,,
