"CAMBRIDGE (BOTANIC GARDENS)",,,,,,,,,,,,
Grid ref,TL453572,Long,0.124353,Lat,52.193898,,,,,,,
Station no,1203,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.33,1.44,0.90,0.93,1.91,2.91,1.16,2.28,2.77,1.99,,
February,2.62,0.66,1.45,1.76,1.58,0.73,2.13,2.74,0.11,1.09,,
March,2.97,2.80,0.48,1.97,1.29,0.50,1.52,0.78,2.46,1.60,,
April,3.16,1.50,2.13,0.28,0.50,1.19,0.10,1.14,1.66,0.28,,
May,2.46,1.62,1.70,3.49,2.57,0.69,0.70,2.58,0.44,0.82,,
June,1.23,1.73,1.94,1.74,2.11,1.89,1.81,5.27,1.91,2.01,,
July,0.83,0.51,1.98,2.71,0.47,3.55,2.42,3.24,3.67,3.33,,
August,3.31,2.62,2.54,3.64,1.45,4.91,1.93,2.36,0.80,2.97,,
September,2.18,2.26,1.25,1.74,2.11,1.37,3.25,2.66,0.05,3.86,,
October,1.07,2.09,2.62,1.71,2.83,1.13,1.55,1.82,1.37,4.22,,
November,2.90,2.89,1.19,3.15,1.26,0.87,1.33,1.59,1.48,3.35,,
December,1.33,1.97,0.58,1.81,1.58,2.30,1.77,2.55,3.01,3.00,,
Total,26.39,22.09,18.76,24.93,19.66,22.04,19.67,29.01,19.73,28.52,,
Calc annual,26.39,22.09,18.76,24.93,19.66,22.04,19.67,29.01,19.73,28.52,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,-0.00,,
