GLENTHAM - BISHOPBRIDGE,,,,,,,,,,,,,,,,,,,
Grid ref,TF031911,Long,-0.451,Lat,53.407,Elevation,20,ft,,,,,,,,,,,
Station no,2571/5,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951
January,1.46,1.97,2.38,3.22,3.42,1.83,3.86,2.21,2.34,3.22,3.63,2.64,2.73,2.22,2.27,4.89,1.02,1.02,1.78
February,2.64,1.32,2.26,2.24,2.22,1.21,0.88,1.78,3.10,1.25,0.85,2.84,1.77,2.75,1.41,1.34,0.53,3.84,2.45
March,2.73,1.58,0.47,0.75,2.09,0.25,2.04,1.65,2.87,1.13,0.32,0.43,0.57,1.14,3.92,0.49,0.98,0.77,3.03
April,0.98,2.37,2.64,1.86,3.11,0.10,1.62,1.35,0.97,1.12,0.82,2.54,1.77,1.59,1.81,1.10,1.95,2.55,1.07
May,2.01,1.07,0.32,1.32,3.26,2.76,1.47,0.43,1.54,3.40,2.35,1.75,1.95,1.04,0.71,1.90,1.33,2.19,3.13
June,1.28,1.46,3.31,3.90,1.67,1.15,3.61,0.84,0.35,1.08,2.06,1.84,2.13,2.53,2.08,3.77,0.66,1.96,1.40
July,1.74,1.49,0.98,3.69,4.97,4.35,4.70,4.72,4.12,2.29,0.79,2.20,1.62,2.87,1.69,1.32,3.34,2.40,0.66
August,0.31,2.18,0.98,1.66,0.48,2.71,2.85,0.80,2.96,2.39,1.96,4.41,2.75,3.56,0.24,2.84,2.04,2.33,3.94
September,1.43,1.94,4.88,1.99,0.98,3.68,1.67,0.95,0.63,2.26,3.14,3.81,0.84,3.56,0.60,1.96,1.01,3.19,1.70
October,4.22,1.45,3.03,2.27,2.06,2.45,3.45,3.33,3.30,1.79,1.38,2.82,2.51,1.56,0.31,1.62,2.84,0.84,1.46
November,1.67,2.14,4.39,2.20,1.65,2.91,4.42,4.31,2.77,1.75,1.84,4.34,0.61,4.96,1.52,1.36,2.80,3.68,3.75
December,0.36,4.42,2.77,1.53,3.40,4.66,2.37,1.97,0.47,2.05,0.84,1.43,1.54,2.36,2.41,3.08,1.82,2.03,1.53
Total,20.83,23.39,28.41,26.63,29.31,28.06,32.94,24.34,25.42,23.73,19.98,31.05,20.79,30.14,18.97,25.67,20.32,26.80,25.90
,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_15_pt1/163,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_17_pt1/249,,,,,,,,,,,,,,,,,,,
TYRain_1951-1960_15_pt1/252,,,,,,,,,,,,,,,,,,,
