HIGH WYCOMBE ST MARY'S COTTAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU865927,Long,-0.7517,Lat,51.6272,Elevation,228,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,,,,,1.82,-999,-999,0.54,-999,4.68,1.08,-999,-999,-999,0.87,3.53,0.88,2.84,3.28,0.36,3,4.08,3.23,2.1,-999,1.84,3.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,,,,,2.44,3.46,-999,-999,1.05,-999,1.42,-999,-999,-999,5.68,0.81,3.37,2.51,3.06,2.67,2.06,2.13,1.07,2.21,2.04,3.35,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,,,,,0.11,-999,-999,-999,3.4,-999,0.57,-999,-999,-999,1.28,0.61,2.94,3.72,1.09,1.44,2.22,0.55,1.95,2.24,-999,-999,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,,,,,2.32,-999,-999,1.02,-999,-999,4.46,-999,-999,-999,2.58,0.44,1.24,3.13,1.72,0.99,1.94,0.32,2.24,0.6,-999,-999,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,,,,,1.94,3.19,-999,-999,-999,-999,0.51,-999,-999,-999,0.38,-999,2.59,0.76,0.81,0.65,0.94,4.22,1.88,1.8,-999,-999,2.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,,,,,2.54,-999,-999,0.79,-999,-999,3.6,4.12,-999,-999,2.62,1.87,2.96,1.86,1.49,3.45,4.78,1.66,1.95,1.98,-999,-999,2.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,,,,,4.91,-999,0.11,-999,-999,-999,4.76,-999,-999,-999,1.88,7.01,1.14,3.16,1.64,1.79,4.91,1.99,3.4,1.74,-999,-999,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,,,,,2.09,-999,-999,1.45,-999,5.3,4.68,-999,-999,-999,2.2,2.47,0.39,2.46,3.15,1.35,3.56,2.12,3.83,3.25,-999,-999,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,,,,,2.59,-999,-999,4.6,-999,-999,4.48,-999,-999,-999,1.89,2.09,4.43,3.28,1.62,3.35,3.94,3.06,5.61,3.52,-999,-999,3.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,,,,,5.24,-999,-999,-999,-999,-999,2.04,-999,-999,-999,2.81,-999,6.07,4.31,1.89,2.92,2.63,1,5.17,1.19,-999,4.12,1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
