CUSHENDUN AGOLAH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ID245323,Long,-6.04851,Lat,55.12324,Elevation,100,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,4.02,0.07,3.39,,,,,,,,,,,5.78,7.24,2.52,8.26,2.99,3.09,,4.9,3.17,7.09,,,,,,,
February,3.39,0.07,5.04,,,,,,,,,,,4.12,3.76,4.16,2.36,2.19,1.92,,0.75,0.46,2.85,,,,,,,
March,0.74,1.05,2.73,,,,,,,,,,,1.77,4.22,3.84,1.97,2.1,3.31,,2.22,4.2,2.06,,,,,,,
April,2.36,4.05,1.78,,,,,,,,,,,2.04,1,2.71,2.46,1.47,1.95,,1.61,1.39,0.8,,,,,,,
May,2.17,1.03,,,,,,,,,,,,2.32,3.27,2.03,2.64,3.16,3.45,,1.64,2.81,3.17,,,,,,,
June,1.65,1.75,,,,,,,,,,,,2.31,0.71,0.85,1.9,1.19,3.15,0.43,2.87,1.18,,,,,,,,
July,1.4,1.36,2.87,,,,,,,,,,,2.43,4.03,1.45,2.34,3.34,8.06,3.28,3.64,1.82,,,,,,,,
August,2.28,2.52,2.79,,,,,,,,,,2.49,5.94,3.65,2.94,1.87,2.7,6.39,5.79,3.09,4.09,,,,,,,,
September,3.04,3.74,7.25,,,,,,,,,,4.28,6.33,4.23,4.62,2.27,6.48,1.7,3.85,3.29,3.42,,,,,,,,
October,8.61,2.35,,,,,,,,,,,2.68,4.6,3.96,5.08,2.84,1.83,1.86,3.69,3.79,5.17,,,,,,,,
November,1.82,3.24,,,,,,,,,,,7.19,5.65,4.88,2.51,5.01,2.77,8.22,3.67,8.19,4.08,,,,,,,,
December,2.21,2.94,,,,,,,,,,,5.75,4.52,5.54,4.05,7.25,4.51,4.07,4.04,1.43,5.32,,,,,,,,
Total,33.69,24.17,,,,,,,,,,,,47.81,46.49,36.76,41.17,34.73,47.17,,37.42,37.11,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Now Agolagh House, 30  Knocknagarry Road, Cushendun",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
