TODMORDEN-GORPLEY-RES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD907229,Long,-2.1423479,Lat,53.702448,Elevation,900,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,3238/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,7.1,3.06,1.47,7.91,8.47,8.5,4.4,6.93,4.54,11.66,3.49,3.78,6.09,6.74,2.32,5.64,3.75,7.77,6.32,6.94,4.57,7.51
February,,,,,,,,,7.4,2.81,6.2,1.98,4.41,2.78,7.42,6.95,3.79,4.08,4.75,6.94,4.88,1.68,2.67,5.4,2.7,1.55,4.78,10.18,0.79,5.46
March,,,,,,,,,4.28,3.83,4.87,3.92,1.8,0.83,1.95,1.74,7.67,2.39,2.26,4.2,6.33,3.66,3.25,4.31,2.5,2.29,5.85,3.36,2.96,1.86
April,,,,,,,,,2.68,3.65,2.92,3.15,3.75,4.84,3.49,1.55,5.51,2.92,5.33,4.51,3.8,4.93,4.42,1.03,3.03,3.34,0.49,2.11,4.66,3.72
May,,,,,,,,,1.7,2.16,3.15,4.73,4.11,3.57,6.02,1.45,2.45,1.97,4.39,2.49,2.89,2.26,3.16,3.65,6,2.32,2.25,5.83,2.37,2.44
June,,,,,,,,,4.52,0.99,0.75,1.32,5.12,4.57,6.6,5.16,3.5,7.19,0.63,3.08,1.91,5.07,3.19,3.9,4.02,4.27,2.36,5.88,3.11,1.8
July,,,,,,,,,8.48,5.75,2.11,6.69,4.04,4.57,3.52,4.76,3.95,2.47,2.53,5.4,4.24,3.14,6.58,6.32,1.82,8.37,6.49,4.75,4.41,9.17
August,,,,,,,,,4.63,3.24,9.34,6.3,8.31,4.06,4.89,8.75,0.4,6.04,5.04,7.05,7.3,6.44,6.64,8.57,1.5,12.32,8.4,5.24,0.87,5.48
September,,,,,,,,,1.9,5.88,1.01,3.52,6.16,8.19,3.79,9.34,4.03,4.33,1.48,9.42,4.74,4.86,4.74,8.4,4.2,6.01,7.84,6.13,0.53,3.72
October,,,,,,,,,2.45,6.52,5.81,7.72,4.07,6.75,7.28,1.39,1.34,3.42,6.64,3.64,1.45,7.3,3.2,12.04,3.7,4.42,8.23,6.14,6.62,6.92
November,,,,,,,,,9.37,11.63,3.82,1.57,5.1,9.85,0.67,10.47,7.66,3.05,8.98,7.42,11.62,3.33,6.73,8.49,3.32,2.76,3.18,2.01,6.37,9.95
December,,,,,,,,,5.23,6.37,3.71,5.56,3.72,6.72,4.3,5.89,4.21,5.2,8.8,3.79,11.67,5.75,2.56,10.37,8.01,6.55,7.78,5.34,11.45,6.61
Total,,,,,,,,,59.74,55.89,45.16,54.37,59.06,65.23,54.33,64.38,49.05,54.72,54.32,61.72,66.92,55.16,49.46,78.12,44.55,61.97,63.97,63.91,48.71,64.64
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from the 1950s record and is near Gorley Reservoir. Altitudes match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MIDAS src_id 2602, continues to 2004 and adjacent station src_id 555656 replaced this gauge and is still current",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Feb 1947 record adusted for snow, but left in this record",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
