KIRKBY ESTATE WORKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ399980,Long,-2.90697,Lat,53.4753,Elevation,48,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2806/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,5.2,2.47,1.97,3.52,4.21,4.19,2.08,4.12,2.72,7.09,2.54,1.43,2.63,3.54,1.71,3.12,2.62,4.28,1.98,2.86,3.05,5.29
February,,,,,,,,0.89,2.91,2.08,3.51,1.73,2,1.13,2.88,5.15,0.65,1.86,1.31,4.41,2.73,0.98,1.24,3.63,2.45,0.5,2.06,5.16,0.27,1.89
March,,,,,,,,0.99,1.66,2.18,2.99,2.64,0.76,0.82,0.85,0.88,4.73,1.07,2.39,1.38,4.98,2.19,1.29,2.28,1.95,1.19,2.26,1.48,1.44,2.25
April,,,,,,,,0.21,2,1.86,1.86,1.58,1.47,2.66,1.65,0.84,2.91,1.63,2.55,2.9,1.58,2.47,2.86,0.59,1.94,2.68,0.35,0.82,3.02,1.38
May,,,,,,,,3.13,1.38,2.33,2.07,3.65,2.57,1.87,3.95,1.89,3.61,1.72,3.18,0.97,3.19,2.4,2.12,2.76,3.72,1.26,1.87,3.28,1.66,2.98
June,,,,,,,,3.84,3.09,1,0.76,0.38,2.31,3.06,3.52,3.35,2.44,3.82,1.11,2.43,1.13,2.29,1.77,3.12,3.86,1.87,1.77,4.1,3.19,1
July,,,,,,,,2.92,6.15,4.17,,2.64,3.87,2.46,1.93,3.97,3.25,2.94,2.52,2.62,1.82,1.61,3.66,4.11,0.49,4.78,4.49,3.73,4.4,4.18
August,,,,,,,,4.49,1.92,1.25,4.84,4.9,3.88,3.94,2.36,5.44,0.29,3.63,2.18,7.68,5.86,2,3.56,4.6,1.39,9,3.41,3.27,1.3,4.55
September,,,,,,,,1.9,0.9,2.77,0.9,2.45,3.68,4.95,1.62,5.5,2.82,1.97,1.29,5.42,3.11,4.08,4.65,3.86,3.03,2.78,6.27,4.72,0.28,3.75
October,,,,,,,,6.43,2.15,4.46,3.39,3.56,4.56,4.28,4.88,0.76,0.85,2.54,3.94,2.43,1.1,4.81,1.7,6.46,2.32,2.54,3.44,2.95,2.96,3.92
November,,,,,,,,3.66,4.75,5.51,2.67,0.84,2.35,5.73,0.32,4.7,3.57,2.11,5.24,4.97,7.85,2.6,3.77,6.37,1.83,1.9,1.44,1.93,5.31,6.65
December,,,,,,,,3.71,3.39,2.37,0.89,2.56,1.79,3.1,2.75,3.18,2.63,2.99,5.14,3.75,5.57,3.35,1.53,4.24,4.14,2.56,3.13,3.71,6.03,3.24
Total,,,,,,,,,35.5,32.45,,30.45,33.45,38.19,28.79,39.78,30.47,33.37,33.39,40.39,41.55,32.32,29.86,45.14,29.74,35.34,32.47,38.01,32.91,41.08
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Omitted estimated amounts for January 1938 and July 1941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR and elevation verified to CEDA Archive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
