LINCOLN - SESSIONS HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK978714,Long,-0.536,Lat,53.231,Elevation,59,ft,,,,,,,,,,,,,,,,,
Station no,RR3022,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928
January,1.74,0.87,2.57,0.91,1.00,1.21,1.84,1.37,2.86,3.17,1.09,2.34,0.60,2.54,1.61,2.72,1.57,1.75,2.51,1.71,1.79,1.36,2.33,1.44,3.35
February,2.54,0.55,2.05,1.41,1.81,0.52,2.24,0.89,1.09,0.60,0.77,2.41,3.63,0.80,1.37,2.27,1.72,0.14,2.82,3.74,0.77,1.66,1.18,1.39,1.03
March,1.66,1.59,1.40,1.31,2.14,3.10,0.44,1.44,2.18,2.50,1.62,0.97,3.54,1.62,0.70,2.59,2.80,0.63,1.53,1.49,0.79,0.80,0.53,1.51,1.66
April,0.85,1.54,0.80,1.50,2.69,1.65,1.79,1.20,0.17,1.99,0.86,0.58,1.65,1.59,1.16,1.73,4.29,1.02,1.78,0.93,1.32,1.55,1.79,1.61,0.67
May,2.20,0.51,1.14,3.59,2.21,0.86,2.45,0.77,2.56,1.87,1.55,1.94,2.37,1.49,1.63,0.76,3.04,1.86,1.01,2.89,2.30,3.67,1.61,1.00,1.29
June,0.42,2.59,1.92,2.33,1.39,2.85,1.58,3.06,3.83,0.66,1.78,1.88,1.24,0.94,0.95,1.21,2.46,0.53,0.77,1.19,1.19,0.05,2.70,2.88,1.46
July,2.90,1.06,1.46,1.54,2.56,3.80,2.56,0.20,3.19,0.39,2.43,4.68,1.42,1.21,2.42,2.67,2.41,0.33,4.10,3.97,1.71,0.69,1.45,2.13,0.90
August,2.98,2.97,2.04,2.08,1.97,4.23,3.24,1.13,4.21,1.23,1.25,2.11,4.15,4.95,1.72,2.51,0.88,3.16,2.75,2.79,2.85,1.35,2.09,2.71,4.32
September,1.71,1.80,0.79,0.61,1.55,1.52,0.31,1.54,1.08,2.10,0.73,0.67,1.50,0.86,3.38,1.76,1.66,0.67,2.57,2.37,2.11,2.58,0.98,3.44,
October,0.34,1.78,4.70,5.45,0.85,2.83,1.83,1.69,1.99,2.86,2.06,0.88,1.69,2.41,1.42,1.93,1.27,1.49,0.92,1.49,4.08,2.23,1.93,1.49,
November,0.86,2.39,2.60,2.00,1.11,0.23,3.10,2.22,2.32,1.83,2.03,2.49,2.68,1.30,1.75,1.85,0.56,1.65,0.98,1.98,1.11,2.50,2.23,2.52,
December,1.52,0.58,2.06,1.74,1.47,4.51,3.43,3.37,2.28,0.60,4.25,4.67,2.22,1.10,3.01,2.96,2.08,1.47,3.09,2.44,2.21,1.35,0.64,2.73,
Total,19.72,18.23,23.53,24.47,20.75,27.31,24.81,18.88,27.76,19.80,20.42,25.62,26.69,20.81,21.12,24.96,24.74,14.70,24.83,26.99,22.23,19.79,19.46,24.85,
,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_17_pt1/115,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_16_pt1/071,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_17_pt1/061,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# In 1917-1919 a lot of readings are duplicated between this site and the Lincoln Railway Station site. The values have been retained.,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,
"# The gauge moved to a site on Beaumont Fee, about 400 yards to the west, in September 1928.",,,,,,,,,,,,,,,,,,,,,,,,,
