PENPONT MANSE DUMFRIES,,,,,,,,,,
Grid ref,NX849946,Long,-3.8113811,Lat,55.232143,Elevation,195,ft,,
Station no,RR4329,,,,,,,,,
,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859
January,,,,,,0.6,3.2,3.2,3.7,5.9
February,,,,,,0.6,3.9,2.7,0.7,6
March,,,,,,3,0.7,4.3,1.2,4.6
April,,,,,,1.4,2.1,2.3,1.9,3.5
May,,,,,,1.9,3.1,2.3,4.5,1
June,,,,,,2.9,5.1,2.5,3.6,2.4
July,,,,,,3.1,1.7,2.3,4,
August,,,,,,4.6,4.5,3.2,4.2,2
September,,,,,,0.5,2.1,3.3,4.6,4.9
October,,,,,,7.2,2.7,2.7,6.4,3.8
November,,,,,,2.5,1.5,3.3,1.8,0.2
December,,,,,,2.5,6.1,4.3,4.9,5.2
Total,,,,,,30.8,36.7,36.4,41.5,
