BISHAM-VICARAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU848853,Long,-0.77811877,Lat,51.560216,Elevation,100,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,-999,2.36,2.57,0.85,4.14,0.69,2.04,0.85,2.08,1.15,3.73,3.2,0.59,3.31,1.31,1.63,2.68,3.42,2.3,2.13,2.55,1.47,2.99,,,,,,
February,,,-999,0.94,2.72,0.56,2.07,1.7,1.5,0.38,3.32,1.75,2,0.83,2.61,3.39,3.73,1.05,1.14,2.42,0.36,0.19,2.39,3.18,0.35,,,,,,
March,,,-999,3.24,1.12,3.47,1.44,1.14,3.12,2.81,0.85,1.64,3.83,2.04,4.73,1.24,4.44,1.72,0.87,4.21,1.72,0.63,1.86,2.38,1.1,,,,,,
April,,,-999,2.22,1.46,1.76,0.51,2.88,4.05,2.25,1.72,1.74,0.04,3.2,0.78,0.94,1.09,1.93,3.54,2.32,3.26,0.87,2.73,2.42,2.96,,,,,,
May,,,2.16,3.54,2.92,2.17,1.93,1.9,2.05,1.58,2.05,2.96,1.72,2.07,1.38,3.07,2.24,1.96,1.79,0.25,1.27,0.77,0.95,1.65,3.76,,,,,,
June,,,3.54,6.69,0.96,3.52,3.3,2.34,1.02,4.41,4.1,2.91,3.66,0.74,1.01,1.13,2.16,2.93,0.6,0.98,2.6,0.24,1.34,0.35,3.29,,,,,,
July,,,1.03,5.33,3.27,0.53,0.18,2.85,3.69,2.84,1.77,0.59,2.16,0.69,2.53,4.55,1.61,4.29,3.96,2.04,5.46,0.11,3.81,2,4.41,,,,,,
August,,,3.36,2.96,1.74,2.22,1.14,1.89,3.24,3.89,2.56,0.72,5.95,0.79,1.76,2.61,4.99,3.63,1.34,2.28,1.24,1.3,2.79,1.88,2.83,,,,,,
September,,,-999,3.54,1.53,1.62,0.92,0.63,2.09,2.88,0.35,1.75,2.53,1.64,0.91,2.3,1.03,1.54,5.14,2.61,1.64,2.35,1.91,2.07,3.23,,,,,,
October,,,-999,8.28,1.74,1.44,4.87,4.84,1.9,4.51,3.09,2.66,2.54,4.53,1.76,2.77,4.26,4,1.4,0.93,2.2,1.32,0.87,4.78,3.51,,,,,,
November,,,2.01,1.98,1.91,2.74,3.07,2.37,0.98,0.51,3.14,3.05,2.4,2.5,2.5,1.92,3.92,0.67,1.94,1.59,1.01,1.61,1.29,1.34,,,,,,,
December,,,1.28,2.54,2.68,1.24,3.07,3.68,2.5,2.42,4.03,5.85,3.09,1.02,6.91,5.06,3.08,0.85,1.85,4.99,2.01,1.35,2.02,2.7,,,,,,,
Total,,,20.41,43.62,24.62,22.12,26.64,26.91,28.18,29.33,29.06,26.77,33.65,23.25,27.47,32.29,33.86,26.2,26.25,28.04,25.07,12.87,24.51,26.22,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is Bisham Vicarage. Altitudes match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
