HORSHAM-SELEHURST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ218261,Long,-0.264778,Lat,51.021381,Elevation,305,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,2.96,3.25,3.47,1.98,4.52,2.53,0.84,1.38,3.31,1.8,0.49,2.27,3.76,2.28,0.85,2.12,0.7,3.2,3.99,1.08,1,2.82,5,1.44,5.61,1.5,,
February,,,4.51,4.08,2.61,3.63,0.54,0.7,1.3,2.39,1.26,0.25,1.17,2.77,1.91,0.4,0.36,3.68,1.22,2.98,5.49,1.71,1.45,1.69,3.62,0.88,3.34,1.6,,
March,,,1.08,1.08,1.86,2.47,2.12,1.53,3.44,2.21,1.95,2.55,1.18,0.59,1,1.79,3,4.61,1.23,0.74,1.03,1.91,2.17,3.12,1.38,4.06,1.71,1.09,,
April,,,1.6,1.81,1.79,1.29,1.89,1.36,1.4,2.51,2.53,0.55,1.2,0.06,2.5,2.45,0.55,2.21,1.09,2.79,0.98,2.48,1.21,2.69,1.97,2.01,0.85,4.39,,
May,,,2.59,2.44,0.6,4.08,3.89,1.66,2.3,2.13,1.73,2.8,1.2,0.56,1.44,0.41,0.34,0.69,3.9,1.77,1,1.79,2.91,2.74,4.66,0.54,2.04,2.77,,
June,,,1.37,1.87,1.98,1.42,0.76,0.57,3.95,0.56,2.92,1.36,3.29,0.97,2.3,0.3,3.62,1.89,2.04,1.36,3.44,1.85,3.62,3.83,1.08,5.11,2.48,,,
July,,,3.18,2.67,2.4,0.33,2.6,0.77,4.74,3.01,3.48,3.78,2.98,3.67,6.26,3.61,1.19,0.86,2.04,1.28,1.85,2,1.34,4.18,0.76,0.49,1.03,,,
August,,,1.5,1.61,1.11,1.27,2.37,2.84,1.95,2.77,3.84,4.92,3.13,0.39,2.4,3.01,2.64,3.37,1.15,0.72,2.11,2.07,5.38,4.57,2.12,3.16,1.01,,,
September,,,5.23,4.6,4.06,5.6,1.43,3.16,0.86,1.1,1.49,1.57,2.42,1.92,2.89,0.3,7.02,2.56,0.89,2.7,1.42,2.17,0.81,3.81,1.97,2.22,1.39,,,
October,,,1.95,2.98,1.57,4.26,3.53,1.22,1.59,6.06,1.26,7.85,5.1,4.88,3.62,4.04,4.12,0.58,3.89,1.95,2.47,4.08,2.36,7.66,2.69,1.82,4.92,,,
November,,,3.04,4.56,1.57,2.98,3.63,5.53,4.6,0.67,2.49,3.64,3.63,2.11,7.11,6.69,1.4,1.72,4.82,5.05,3.61,0.75,3.08,2.13,1.55,5.96,5.88,,,
December,,,2.55,0.75,3.36,1.39,4.8,1.73,1.77,1.26,0.65,3.5,2.07,2.15,1.68,3.1,4.5,3.73,2.86,1.7,3.67,5.36,1.75,2.32,3.43,0.89,2.86,,,
Total,,,31.56,31.7,26.38,30.7,32.08,23.6,28.74,26.05,26.91,34.57,27.86,22.34,36.87,28.38,29.59,28.02,25.83,26.24,31.06,27.25,27.08,41.56,30.23,28.58,33.12,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1907 Jun Gauge moved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
