HORSHAM-SELEHURST (FOREST HOUSE),,,,,,,,,,
Grid ref,TQ2109828646,Long,-0.27393212,Lat,51.044413,Elevation,290,ft,,
Station no,RR4895,,,,,,,,,
,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,,,1.33,
February,,,,,,,,,1,
March,,,,,,,,,2.5,
April,,,,,,,,,2.82,
May,,,,,,,,,2.48,
June,,,,,,,,1.72,2.34,
July,,,,,,,,0.94,2.15,
August,,,,,,,,1.61,4.89,
September,,,,,,,,0.68,1.16,
October,,,,,,,,4.78,2.26,
November,,,,,,,,2.63,1.25,
December,,,,,,,,3.23,3.68,
Total,,,,,,,,,27.86,
