"HORSHAM SELEHURST & FOREST HOUSE",,,,,,,,,,,,
Grid ref,TQ218261,Long,-0.264778,Lat,51.021381,,,,,,,
Station no,RR4895,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.99,1.08,1.00,2.82,5.00,1.44,5.61,1.50,1.33,,,
February,5.49,1.71,1.45,1.69,3.62,0.88,3.34,1.60,1.00,,,
March,1.03,1.91,2.17,3.12,1.38,4.06,1.71,1.09,2.50,,,
April,0.98,2.48,1.21,2.69,1.97,2.01,0.85,4.39,2.82,,,
May,1.00,1.79,2.91,2.74,4.66,0.54,2.04,2.77,2.48,,,
June,3.44,1.85,3.62,3.83,1.08,5.11,2.48,1.72,2.34,,,
July,1.85,2.00,1.34,4.18,0.76,0.49,1.03,0.94,2.15,,,
August,2.11,2.07,5.38,4.57,2.12,3.16,1.01,1.61,4.89,,,
September,1.42,2.17,0.81,3.81,1.97,2.22,1.39,0.68,1.16,,,
October,2.47,4.08,2.36,7.66,2.69,1.82,4.92,4.78,2.26,,,
November,3.61,0.75,3.08,2.13,1.55,5.96,5.88,2.63,1.25,,,
December,3.67,5.36,1.75,2.32,3.43,0.89,2.86,3.23,3.68,,,
Total,31.06,27.25,27.08,41.56,30.23,28.58,33.12,,27.86,,,
Calc annual,31.06,27.25,27.08,41.56,30.23,28.58,33.12,26.94,27.86,0.00,,
Difference,-0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,NaN,0.00,NaN,,
