"HAWES WATER (WALLOW CRAG)",,,,,,,,,,,,
Grid ref,NY496149,Long,-2.780247,Lat,54.526862,,,,,,,
Station no,3674/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.22,7.10,3.32,6.67,7.70,5.45,17.20,9.48,6.91,11.65,,
February,7.50,1.00,2.71,6.10,2.40,1.00,7.63,8.38,2.33,12.07,,
March,4.21,4.51,1.61,6.04,1.70,2.55,6.48,1.71,6.58,1.94,,
April,5.50,5.45,5.75,1.25,2.10,1.40,1.74,2.56,8.09,7.72,,
May,2.14,3.20,4.31,6.04,7.25,4.35,4.11,7.87,1.93,2.86,,
June,2.01,5.53,3.46,5.65,4.59,4.42,1.92,6.25,6.11,4.15,,
July,4.12,2.17,8.79,3.78,2.95,6.07,4.23,5.31,5.43,6.70,,
August,8.18,7.20,6.05,6.39,2.82,10.40,8.27,4.93,1.21,4.42,,
September,12.14,7.15,8.54,12.45,3.90,6.22,7.55,8.69,1.26,4.17,,
October,1.06,11.09,5.00,20.50,4.85,6.20,10.29,8.27,9.86,6.26,,
November,17.83,4.47,12.75,18.00,4.20,2.93,2.81,1.17,12.04,22.03,,
December,15.90,6.05,5.35,9.70,11.90,11.85,9.86,7.24,17.01,10.73,,
Total,87.81,64.92,67.64,102.57,56.36,62.84,82.09,71.86,78.76,94.70,,
Calc annual,87.81,64.92,67.64,102.57,56.36,62.84,82.09,71.86,78.76,94.70,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
