HAWESWATER (WALLOW CRAG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY496149,Long,-2.780247,Lat,54.526862,Elevation,1412,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,3674/6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,17,14.78,14.74,2.74,11.78,10.77,14.05,14.3,2.75,1.68,7.33,16.8,12.15,6,11.51,11,15.84,4.1,4.8,7.22,7.1,3.32,6.67,7.7,5.45,17.2,9.48,6.91,11.65
February,,0.11,6.35,0.4,14.88,3.54,7.1,4.79,12.11,2.84,7.75,2.29,6.74,4.4,7.34,5.79,2.2,6.76,7.95,10.46,7.5,1,2.71,6.1,2.4,1,7.63,8.38,2.33,12.07
March,,5.5,6.09,4.75,2.75,4.61,1.71,6.87,6.66,8.96,3.71,5.86,3.95,0.66,5.52,4.47,9,7.39,1.39,6.4,4.21,4.51,1.61,6.04,1.7,2.55,6.48,1.71,6.58,1.94
April,,8.1,2.98,5.2,6.19,1.66,4.41,0.12,2.41,2.47,2.16,7.44,5.4,3.48,3.63,2.3,14.24,4.26,7.95,5.58,5.5,5.45,5.75,1.25,2.1,1.4,1.74,2.56,8.09,7.72
May,,5.1,3.45,6.53,0.67,1.84,3.17,6.58,1.07,1.72,4.1,8.35,6.43,2.1,5.8,1.78,3.42,3.26,4.22,,2.14,3.2,4.31,6.04,7.25,4.35,4.11,7.87,1.93,2.86
June,,4.3,2.65,2.92,6.65,4.79,2.57,10.6,5.27,1.28,0.16,0.97,6,6.37,6.54,6.54,5.45,9.57,1.13,2.9,2.01,5.53,3.46,5.65,4.59,4.42,1.92,6.25,6.11,4.15
July,,7.3,5.04,1.82,2.48,8.12,3.87,10.48,11.25,6.76,1.48,4.96,4.6,5.08,4.45,5.78,4.25,3.53,2.97,,4.12,2.17,8.79,3.78,2.95,6.07,4.23,5.31,5.43,6.7
August,,1.35,3.41,6.72,3.77,2.38,3,4.05,3.5,1.97,9.75,9.3,10.35,4.1,2.45,8.32,0.17,9.23,3.29,11.8,8.18,7.2,6.05,6.39,2.82,10.4,8.27,4.93,1.21,4.42
September,,5.52,2.77,10.31,13.79,7.1,6.13,4.85,2.29,6.23,1.64,8.98,7.35,7.83,7.65,12.47,6.27,8,1.45,,12.14,7.15,8.54,12.45,3.9,6.22,7.55,8.69,1.26,4.17
October,,10.5,6.85,11.78,12.68,7.48,4.63,21.14,3.76,13.71,7.72,7.06,10.6,8.82,8.76,1.42,2.23,4.9,11.14,,1.06,11.09,5,20.5,4.85,6.2,10.29,8.27,9.86,6.26
November,,5.7,3.1,1.2,8.27,9.05,1.44,13.07,13.86,10.63,5.7,1.85,5.44,13.2,0.47,18.68,12.16,5.98,14.27,8.12,17.83,4.47,12.75,18,4.2,2.93,2.81,1.17,12.04,22.03
December,,15.2,0.56,14.9,4.2,15.12,3.92,7.13,5.84,7.36,5.96,12.6,5.55,6.5,5.09,9.48,4.04,10.01,14.05,4.01,15.9,6.05,5.35,9.7,11.9,11.85,9.86,7.24,17.01,10.73
Total,,85.68,58.03,81.27,79.07,77.47,52.72,103.73,82.32,66.68,51.81,76.99,89.21,74.69,63.7,88.54,74.43,88.73,73.91,,87.81,64.92,67.64,102.57,56.36,62.84,82.09,71.86,78.76,94.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939 June,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946 Feb/March apportioned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1947 Jan, Feb, March estimated for snow",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1950 May 2.97, July 5.73, Sept 17.22, Oct 8.11 and total estimated therefore removed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1951 Feb-April estimated no reason given, but total accepted",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954 Feb/March apportioned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
