SLITRIG CRESCENT HAWICK,,,,,,,,,,
Grid ref,NT502142,Long,-2.788268,Lat,55.419168,Elevation,381,ft,,
Station no,RR3041,,,,,,,,,
,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,,,5.01,3.46,4.54,4.91
February,,,,,,,3.99,1.29,3.52,4.23
March,,,,,,,2.28,1.65,4.24,1.35
April,,,,,,,1.99,2.74,3.75,1.41
May,,,,,,,1.35,2.29,2.18,2.95
June,,,,,,,1.45,1.07,1.42,1.08
July,,,,,,,3.27,6.31,0.67,0.71
August,,,,,,,3.37,1.8,3.47,1.05
September,,,,,,,3.52,2.01,4.26,5.41
October,,,,,,,1.18,1.7,2.5,2.34
November,,,,,,,3.17,0.26,2.54,2.42
December,,,,,,,3.63,1.09,6.39,5.8
Total,,,,,,,34.21,25.67,39.48,33.66
