HAWICK WILLTON HILL,,,,,,,,,,
Grid ref,NT501151,Long,-2.7900091,Lat,55.427244,Elevation,420,ft,,
Station no,RR3041,,,,,,,,,
,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,2.3,2.3,,,
February,,,,,,2.93,1.18,,,
March,,,,,1.9,1.92,2.88,,,
April,,,,,1.49,1.97,1.42,,,
May,,,,,1.5,2.92,4.25,,,
June,,,,,0.44,0.5,1.55,,,
July,,,,,5.49,1.18,3.67,,,
August,,,,,1.32,1.63,0.98,,,
September,,,,,3.89,3.29,2.97,,,
October,,,,,0.87,2.35,4.26,,,
November,,,,,1.64,1.35,3.08,,,
December,,,,,1.99,0.97,3.02,,,
Total,,,,,,23.31,31.56,,,
