HAWICK DOMINICAN PRIORY,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT501143,Long,-2.7898655,Lat,55.420057,Elevation,440,ft,,,,,,,,,,,,,
Station no,5046,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,,4.92,2.39,5.29,4.36,3.38,1.41,,,,,
February,,,,,,,,,,,0.39,2.15,0.21,2.83,0.15,3.02,,,,,
March,,,,,,,,,,,2.32,0.95,2.68,1.06,2.81,1.06,,,,,
April,,,,,,,,,,,1.22,2.25,2.48,1.01,3.71,3.47,,,,,
May,,,,,,,,,,,1.38,3.22,2.25,1.84,2.4,0.95,,,,,
June,,,,,,,,,,,2.08,5.21,1.44,1.17,1.99,3.47,,,,,
July,,,,,,,,,,,4.2,2.96,3.14,3.72,2.82,1.03,,,,,
August,,,,,,,,,,,5.66,3.87,1.53,1.29,3.73,3.79,,,,,
September,,,,,,,,,,,2.71,1.77,3.89,0.92,2.64,3.33,,,,,
October,,,,,,,,,,,5.49,2.3,4.86,3.89,5.95,5.88,,,,,
November,,,,,,,,,,,4.08,4.37,1.63,1.52,1.62,4.02,,,,,
December,,,,,,,,,,,3.44,2.14,4.74,0.55,3.99,1.1,,,,,
Total,,,,,,,,,,,37.89,33.58,34.14,24.16,35.19,32.53,,,,,
,,,,,,,,,,,,,,,,,,,,,
Also part of station RR3041,,,,,,,,,,,,,,,,,,,,,
