"NORTHAW NEWGATE STREET, HATFIELD ST MARY'S VIC.",,,,,,,,,,,,
Grid ref,TL2794802329,Long,-0.149763,Lat,51.705121,,,,,,,
Station no,RR7521,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,1.51,4.22,1.61,1.21,0.78,,
February,,,,,,1.26,2.34,1.32,1.40,0.32,,
March,,,,,,3.74,1.49,0.94,3.15,3.37,,
April,,,,,,1.98,0.46,2.76,3.27,1.82,,
May,,,,,,1.17,1.39,1.81,1.60,1.23,,
June,,,,,,3.40,3.33,1.98,0.87,4.30,,
July,,,,,,2.13,0.80,1.47,3.60,3.16,,
August,,,,,,2.91,0.74,1.83,3.34,2.43,,
September,,,,,,1.88,1.58,0.76,1.32,2.54,,
October,,,,,,1.46,4.16,3.73,1.56,4.58,,
November,,,,,,3.41,4.30,2.45,0.76,0.84,,
December,,,,,,0.99,1.58,3.92,2.17,3.13,,
Total,,,,,,25.84,26.39,24.58,24.25,28.50,,
Calc annual,0.00,0.00,0.00,0.00,0.00,25.84,26.39,24.58,24.25,28.50,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,,
