NORTHAW-NEWGATE-STREET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL299051,Long,-0.1204982,Lat,51.729574,Elevation,360,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR7521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,1.51,4.22,1.61,1.21,0.78,1.79,1.37,,,,,,,,,,,,,,,,,,,,1.62,1.7,,,,,,,,
February,,,,,,1.26,2.34,1.32,1.4,0.32,3.75,1.71,,,,,,,,,,,,,,,,,,,,1.66,0.19,,,,,,,,
March,,,,,,3.74,1.49,0.94,3.15,3.37,0.95,2.08,,,,,,,,,,,,,,,,,,,,0.06,1.59,,,,,,,,
April,,,,,,1.98,0.46,2.76,3.27,1.82,1.98,1.36,,,,,,,,,,,,,,,,,,,,3.78,2.42,,,,,,,,
May,,,,,,1.17,1.39,1.81,1.6,1.23,2.55,,,,,,,,,,,,,,,,,,,,,2.81,3.43,,,,,,,,
June,,,,,,3.4,3.33,1.98,0.87,4.3,3.85,,,,,,,,,,,,,,,,,,,,,1.28,0.85,,,,,,,,
July,,,,,,2.13,0.8,1.47,3.6,3.16,1.9,,,,,,,,,,,,,,,,,,,,,3.15,1.9,,,,,,,,
August,,,,,,2.91,0.74,1.83,3.34,2.43,3.33,,,,,,,,,,,,,,,,,,,,,4.19,2.21,,,,,,,,
September,,,,,,1.88,1.58,0.76,1.32,2.54,0.66,,,,,,,,,,,,,,,,,,,,,2.85,2.17,,,,,,,,
October,,,,,,1.46,4.16,3.73,1.56,4.58,2.41,,,,,,,,,,,,,,,,,,,,,0.6,4.77,,,,,,,,
November,,,,,,3.41,4.3,2.45,0.76,0.84,3.78,,,,,,,,,,,,,,,,,,,,,3.07,1.52,,,,,,,,
December,,,,,,0.99,1.58,3.92,2.17,3.13,4.31,,,,,,,,,,,,,,,,,,,,,0.78,0.6,,,,,,,,
Total,,,,,,25.84,26.39,24.58,24.25,28.5,31.26,,,,,,,,,,,,,,,,,,,,,25.85,23.35,,,,,,,,
