BURNHAM-VICARAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU929823,Long,-0.66209678,Lat,51.531975,Elevation,100,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,997/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,3.6,1.97,2.56,2.4,1.27,2.89,1.67,1.96,1.64,3.08,0.87,2.99,1.02,1.35,1.83,1.5,0.84,3.88,,,,
February,,,,,,,,,,2.66,0.42,0.19,2.15,3.16,0.42,2.78,2.23,3.25,1.6,0.61,0.58,1.24,0.09,2.68,0.13,2.16,1.77,,,,
March,,,,,,,,,,3.99,1.62,0.98,1.91,2.12,0.96,0.57,0.27,2.29,1.63,0.02,1.28,0.11,1.64,2.03,1.99,0.53,1.4,,,,
April,,,,,,,,,,2.45,3.63,0.82,2.73,2.24,2.47,1.34,2.58,1.37,1.27,0.85,2,3.15,1.93,1,1.53,3.08,1.53,,,,
May,,,,,,,,,,0.53,0.96,0.92,0.84,1.89,2.71,2.15,1.52,1.13,1.66,1.89,2.06,2.72,4.64,1.72,0.41,1.66,0.33,,,,
June,,,,,,,,,,1.08,2.5,0.21,1.17,0.44,3.68,0.03,3.17,2.78,3.08,0.88,0.91,1.09,0.75,2.41,1.06,3.84,2.96,,,,
July,,,,,,,,,,4.55,6.64,0.15,3.26,2.15,3.82,3.83,2.23,3.03,2.51,1.36,1.68,3.82,2.01,1.29,1.12,0.89,3.43,,,,
August,,,,,,,,,,2.26,1.51,1.06,2.9,2.59,2.29,2.55,1.2,3.39,2.82,0.98,2.75,3.92,2.33,0.53,2.51,1.66,0.58,,,,
September,,,,,,,,,,1.93,1.42,2.13,2.29,1.93,2.74,2.51,2.04,4.81,0.89,0.45,3.02,1.99,2.12,2.15,1.55,4.01,2.47,,,,
October,,,,,,,,,,0.82,1.99,0.94,0.85,5.13,2.84,2.5,2.4,1.79,4.16,3.25,0.82,0.71,4.57,1.35,1.59,3.09,1.88,,,,
November,,,,,,,,,,1.36,1.67,1.47,1.33,1.25,2.45,1.79,4.91,3.13,2.21,5.27,3.43,2.66,1.62,1.07,1.81,4.11,3.75,,,,
December,,,,,,,,,,4.87,2.23,1.37,2.48,2.47,3.17,2.06,0.41,2.72,2.26,4.35,1.93,0.59,0.48,0.4,5.29,2.34,1.8,,,,
Total,,,,,,,,,,30.1,26.56,12.8,24.31,26.64,30.44,23.78,24.92,31.33,27.17,20.78,23.45,23.02,23.53,18.46,20.49,28.21,25.78,,,,
