HADDINGTON DISTRICT ASYLUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT509743,Long,-2.788,Lat,55.959196,Elevation,238,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,0.73,4.31,2.52,1.38,0.52,1.66,1.08,1.55,2.58,1.48,3.54,1.35,1.43,0.81,2.27,0.64,1.28,1.14,1.75,2.3,0.61,1.18,0.86,3.36,,,,,,0.65,1.97,0.96,2.28,1.05,2.31,0.96,,,,,,,,
February,,,,,,,2.75,1.49,0.6,1.55,1.41,2.95,1.4,1.48,1,1.55,1.17,0.54,1.55,1.24,1.11,0.22,2.24,2.91,3.85,0.82,0.69,0.96,0.69,1.2,,,,,,0.71,0.66,1.07,0.81,1.51,1.77,1.29,,,,,,,,
March,,,,,,,2.48,2.45,0.52,1.6,1.49,1.36,2.07,1.2,1.67,2.18,2.15,1.61,3.26,1.21,2.2,3.51,0.93,0.73,0.9,2.91,1.34,2.85,1.15,1.53,,,,,,1.92,2.32,1.37,3.17,5.26,0.76,2.15,,,,,,,,
April,,,,,,,3.16,2.81,1.47,1.93,2.62,1.43,3.04,1.44,1.21,2.7,1.52,1.05,1.75,3.05,0.72,0.74,1.08,1.24,1.84,1.43,1.09,0.8,1.66,2.33,,,,,,1.63,0.99,1.45,1.7,2.03,2.21,1.15,,,,,,,,
May,,,,,,,1.05,2.78,3.09,2.06,1.06,1.52,1.71,1.34,1.89,3.38,3.9,1.68,0.54,1.41,1.56,2.33,3.02,1.32,3.16,0.68,0.88,0.96,1.62,3.59,,,,,,1.23,6.25,2.98,1.95,2.12,1.61,0.87,,,,,,,,
June,,,,,,,2.23,2.08,1.81,4.24,2.28,2.21,2.84,2.4,0.6,0.59,1.59,0.53,2.64,0.64,3.73,0.5,3.27,3.3,2.44,2.23,2.02,3.37,1.59,1.21,,,,,,0.83,1.59,3.14,0.73,1.25,0.97,3.47,,,,,,,,
July,,,,,,,1.29,4.8,0.71,7.5,3.28,3.72,3.88,3.49,5.27,1.07,3.21,1.81,5.09,4.02,2.63,3.5,1.39,2.62,4.79,4.19,3.56,2.5,1.39,3.68,,,,,,3.14,1.53,2.8,3.66,2.44,3.46,,,,,,,,,
August,,,,,,,3.55,5.85,4.64,2.95,0.65,5.89,1.51,2.45,3.15,2.11,1.52,1.1,2.38,5.48,3.4,4.58,3.78,2.74,4.72,4,1.95,3.69,2.96,1.48,,,,,,2.4,5.73,3.25,1.35,1.95,4.98,,,,,,,,,
September,,,,,,,4.41,1.22,3.42,1.15,3.95,3.53,2.43,2.58,2.53,3.05,1.88,3.39,0.86,0.91,2.33,4.08,1.34,1.43,0.76,0.63,3.91,2.69,2.01,3.98,,,,,,2.35,0.55,1.83,3.23,2.74,0.91,,,,,,,,,
October,,,,,,,2.05,2.35,2.07,0.77,4.4,2.61,3.03,1.87,1.24,1.64,3.94,1.7,0.68,5.6,3.19,1.99,3.86,1.85,2.3,3.68,4.48,0.72,6.06,1.45,,,,,,2.06,7.77,8.1,0.95,2.75,3.07,,,,,,,,,
November,,,,,,,3.47,1.66,4.36,3.53,4.03,1.81,3.33,1.41,1.71,1.4,2.46,5.02,5.13,0.57,3.94,2.05,1.24,2.04,1.31,1.93,1.08,1.82,4.09,1.72,,,,,,4.38,3.95,1.73,1.29,0.16,2.37,,,,,,,,,
December,,,,,,,8.09,1.43,2.67,1.07,3.95,1.62,4.78,0.84,1.99,0.82,2.73,1.14,0.73,1,2.15,4.18,1.45,1.96,1.38,1.91,4.41,2.23,1.03,2.71,,,,,,1.03,2.36,4.05,0.5,2.33,0.92,,,,,,,,,
Total,,,,,,,35.26,33.23,27.88,29.73,29.64,30.31,31.1,22.05,24.84,21.97,29.61,20.92,26.04,25.94,29.23,28.32,24.88,23.28,29.2,26.71,26.02,23.77,25.11,28.24,,,,,,22.33,35.67,32.73,21.62,25.59,25.34,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1875 Total deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900-4 Totals deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
