WESTBURY-VICARAGE,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST875514,Long,-2.1805275,Lat,51.26162,Elevation,181,ft,,,,,,,,,,,,,
Station no,1478,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,1.48,3.17,3.17,3.28,3.45,4.52,1.34,4.98,2.26,3.15,2.86,,,,,,,
February,,,,5.92,0.2,3.91,1.72,4.48,2.14,0.96,0.94,2.37,0.06,,,,,,,,
March,,,,1.42,1.1,0.25,0.48,3.94,2.41,0.18,2.15,0.77,2.14,,,,,,,,
April,,,,2,2.99,1.64,3.21,1.62,1.1,0.89,1.91,2.3,3.37,,,,,,,,
May,,,,1.38,5.23,3.06,3.13,0.9,1.34,1.68,1.64,2.57,5.18,,,,,,,,
June,,,,0.6,2.27,0.08,2.48,3.09,3.14,1.25,1.28,2.78,1.37,,,,,,,,
July,,,,1.53,3.37,3.85,2.03,6.2,2.12,1.91,2.16,4.07,4.04,,,,,,,,
August,,,,3.48,2.66,2.54,1.11,4.09,2.5,2.12,3.74,4.14,1.37,,,,,,,,
September,,,,2.62,2.58,3.42,0.97,6.05,1.85,0.36,4.18,1.97,3.38,,,,,,,,
October,,,,4.45,4.24,3.09,3.5,2.09,4.45,4.4,2.32,0.86,5.53,,,,,,,,
November,,,,2.28,2.81,2.2,6.9,2.65,3.82,7.51,5.26,4.34,1.69,,,,,,,,
December,,,,2.73,4.98,3.58,0.43,3.03,3.03,8.06,3.77,1.21,1.39,,,,,,,,
Total,,,,29.89,35.6,30.79,29.24,41.59,32.42,30.66,34.33,29.64,32.67,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Note that there were several small moves over the years to the E, same NGR kept.",,,,,,,,,,,,,,,,,,,,,
