STREET-SEWAGE-FARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST481373,Long,-2.743115,Lat,51.13261,Elevation,18,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2004/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,2,0.73,3.88,,3.17,5.52,1.98,,3.19,,,,,2.07,4.8,,,,2.22,0.72,1.7,3.15,3.27,2.72,1.77,2.84,
February,,,,0.19,2.69,2.01,,0.88,1.13,2.24,,0.38,,,,,0.6,0.85,,,,0.99,1.45,2.6,1.74,0.16,3.19,3.01,0.26,
March,,,,2.18,0.86,3.04,,0.2,1.35,2.26,,1.69,,,,,5.55,0.98,,,,2.46,0.69,3.54,1.13,0.65,2.05,0.9,3.79,
April,,,,2.4,4.34,2.43,,0.03,2.11,2.68,,0.76,,,,,1.94,1.78,,,3.49,1.82,2.9,0.24,1.07,1.9,0.06,0.52,1.86,
May,,,,0.96,1.2,1.3,,2.06,1.12,2.93,,4.97,,,,,2.04,3.85,,,2.68,3.9,1.87,1.86,3.47,0.38,2.26,2.06,1.24,
June,,,,0.81,3.9,2.13,,1.31,2.96,0.6,,0.37,,,,,1.86,1.73,,,0.65,2.92,2.06,3.03,3.92,1.68,2.34,3.12,0.97,
July,,,,1.13,0.57,5.1,,3.16,3.63,4.13,,1.61,,,,,1.92,1.64,,,1.51,0.74,2.68,3.12,0.5,1.53,3.39,1.68,1.8,
August,,,,3.59,2.17,0.51,,2.87,3.78,0.33,,4.76,,,,,1.18,4.38,,,4.69,4.17,2.5,4.36,1.21,2.75,2.89,3.24,,
September,,,,2.6,4.01,3.69,,2.18,1.06,1.76,,2.06,,,,,1.27,1.41,,,2.78,3.68,2.5,3.01,1.36,3.45,3.06,4.33,,
October,,,,3.01,5.1,1.61,,2.87,2.5,3.5,,2.35,,,,,0.98,3.16,,,0.66,3.55,2.3,2.54,1.49,1.89,2.36,1.95,,
November,,,,1.31,6.12,3.44,,3.66,5.88,6.05,,1.18,,,,,1.34,1.7,,,6.45,3.97,1.57,6.07,3.74,0.87,1.38,3.2,,
December,,,,6.4,3.98,2.36,,3.5,1.73,2.75,,3.5,,,,,2.61,4.05,,,2.39,2.8,0.78,3.01,4.67,3.16,2.57,3.7,,
Total,,,,26.58,35.67,31.5,,25.89,32.77,31.21,,26.82,,,,,23.36,30.33,,,,33.22,22.02,35.08,27.45,21.69,28.27,29.48,,
