STREET (SEWAGE FARM),,,,,,,,,,,,
Grid ref,ST481373,Long,-2.743115,Lat,51.132610,,,,,,,
Station no,2004/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,2.22,0.72,1.70,3.15,3.27,2.72,1.77,2.84,,,
February,,0.99,1.45,2.60,1.74,0.16,3.19,3.01,0.26,,,
March,,2.46,0.69,3.54,1.13,0.65,2.05,0.90,3.79,,,
April,3.49,1.82,2.90,0.24,1.07,1.90,0.06,0.52,1.86,,,
May,2.68,3.90,1.87,1.86,3.47,0.38,2.26,2.06,1.24,,,
June,0.65,2.92,2.06,3.03,3.92,1.68,2.34,3.12,0.97,,,
July,1.51,0.74,2.68,3.12,0.50,1.53,3.39,1.68,1.80,,,
August,4.69,4.17,2.50,4.36,1.21,2.75,2.89,3.24,,,,
September,2.78,3.68,2.50,3.01,1.36,3.45,3.06,4.33,,,,
October,0.66,3.55,2.30,2.54,1.49,1.89,2.36,1.95,,,,
November,6.45,3.97,1.57,6.07,3.74,0.87,1.38,3.20,,,,
December,2.39,2.80,0.78,3.01,4.67,3.16,2.57,3.70,,,,
Total,,33.22,22.02,35.08,27.45,21.69,28.27,29.48,,,,
Calc annual,25.30,33.22,22.02,35.08,27.45,21.69,28.27,29.48,12.76,0.00,,
Difference,NaN,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,NaN,NaN,,
