BURNTSHIELDS KILBARCHAN,,,,,,,,,,
Grid ref,NS 38463 62465,Long,-4.580467,Lat,55.828311,Elevation,440,ft,,
Station no,RR8921,,,,,,,,,
,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,8.1,10,8.2,12.1,6.1,6.05,12.2,6.5,14.5,
February,7.1,5.7,2.8,6.7,5,3.9,8.05,6,11.2,
March,6.9,9.27,4.4,3.8,6.75,2.5,2.8,1.4,8.45,
April,1.9,0.8,4.5,7.3,2.35,1.43,2.2,7.9,4,
May,3.45,1,6.3,4,1.3,4.67,1.8,3.75,5.1,
June,5.85,4.87,4.6,4.5,4.2,1.3,3,2.6,2.2,
July,2.45,5.35,7.3,0.6,3.15,3.82,4.5,5.9,1.2,
August,5.35,13.38,4.9,4.9,2.35,6.8,6.9,5.4,6.13,
September,2.52,6.3,3.9,6.6,7.3,2.1,8.7,6.3,2.4,
October,8.1,5.9,12,4.5,4.15,5.25,6,7.3,7.15,
November,3.1,11.25,3.5,6.1,5.7,4.48,7.55,1.4,4.3,
December,3.75,5,12.8,9.2,5.8,6.1,10.5,5.7,5.1,
Total,58.57,78.82,75.2,70.3,54.15,48.4,74.2,60.15,71.73,
,,,,,,,,,,
Station no,RR8921,,,,,,,,,
Midas,,,,,,,,,,
Hyd Stn,,,,,,,,,,
