WESTBURY-ON-SEVERN-ELTON,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO704141,Long,-2.4308861,Lat,51.82473,Elevation,85,ft,,,,,,,,,,,,,
Station no,2132,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,3.12,4.86,3.66,5.42,0.95,6.36,2.07,3.76,2.62,2.78,0.94,,,,,
February,,,,,,4.12,2.28,3.32,2.67,1.16,0.69,1.91,0.1,3.08,0.42,2.33,,,,,
March,,,,,,0.56,0.28,2.85,3.84,0.17,2.9,0.49,1.95,2.65,2.02,0.29,,,,,
April,,,,,,1.6,3.05,1.22,1.07,0.8,2.45,3.1,3.26,0.76,2.22,5.22,,,,,
May,,,,,,3.24,2.59,1.02,0.8,2.05,1.51,3.57,6.08,1.87,1.26,1.28,,,,,
June,,,,,,0,1.66,3.46,2.23,1.36,0.68,3.45,2,1.89,0.79,4.15,,,,,
July,,,,,,2.31,2.24,3.73,1.63,1.65,3.65,5.39,2.14,2.09,,0.31,,,,,
August,,,,,,2.31,2.32,4.14,2.09,1.93,3.46,5.28,3.74,0.26,2.63,1.09,,,,,
September,,,,,,4.64,0.36,4.94,0.82,0.37,3.58,1.93,3.38,2.4,2.06,4.01,,,,,
October,,,,,,3.43,3.17,2.36,6.7,4.89,3.17,,4.31,4.53,,3.7,,,,,
November,,,,,,1.65,7.81,2.86,4.11,11.53,3.81,,1.65,0.82,,6.32,,,,,
December,,,,,,3.3,0.49,3.62,2.67,7.91,4.26,,1.88,0.5,7.94,3.98,,,,,
Total,,,,,,30.28,31.11,37.18,34.05,34.77,36.52,,34.25,23.47,,33.62,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1925 Jun (dash=zero),,,,,,,,,,,,,,,,,,,,,
1934 Jul Oct Nov estimated,,,,,,,,,,,,,,,,,,,,,
