STRATHY (BOWSIDE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NC830609,Long,-4.010452,Lat,58.520465,Elevation,125,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,5.04,5.23,2.65,4.01,,2.54,5.5,3.77,2.13,2.29,4.01,5.78,4.52,3.27,4.28,2.82,2.35,4.03,5.27,3.22,4.61,9.08,
February,,,,,,,,2,2.09,1.5,3.18,,4.98,4.09,2.61,5.74,1.39,2.76,2.95,3.48,4.39,2.4,2.88,3.02,4.03,2.29,3.33,4.51,0.63,
March,,,,,,,,2.41,2.48,3.92,1.93,,2.53,2.92,1.97,1.64,1.77,1.68,3.37,2.62,4.11,2.44,1.54,2.33,2.1,1.4,3.61,2.5,1.29,
April,,,,,,,,1.3,1.72,3.48,1.76,,3.16,2.94,2.8,2.09,2.7,2.24,2.92,5.01,3.62,0.82,3.6,1.66,1.72,2.4,1.53,1.76,2.56,
May,,,,,,,,2.9,1.21,1.62,2.07,,,3.06,3.3,1.42,1.22,1.95,2.96,1.16,0.7,1.77,2.81,3.18,3.91,1.77,1.98,5.91,2.41,
June,,,,,,,,3.72,1.8,2.33,0.68,,1.91,2.95,2.44,1.87,1.94,2.32,1.42,3.18,2.03,2.33,2.13,4.34,1.24,2.59,2.96,1.53,,
July,,,,,,,,5.65,5.22,8.23,1.48,,3.24,1.66,2.58,3.49,1.54,2.93,1.81,3.02,3.06,1.96,4.72,4.93,0.87,7.45,6.5,2.15,,
August,,,,,,,,2.83,1.94,2.7,5.4,,4.46,2.6,1.86,3.63,0.09,3.95,4.88,1.6,4.13,3.59,2.75,3.18,0.53,5.34,5.06,3.93,,
September,,,,,,,,2.33,1.92,3.63,1.42,,3.95,5.52,3.5,3.3,5.43,4.17,2.64,8.11,1.06,3.14,2.63,3.72,3.93,2.05,3.09,1.47,,
October,,,,,,,,5.08,2.69,2.94,,,2.78,4.64,4.6,0.8,3.02,5.48,2.34,3.31,2.1,3.2,1.15,6.37,6.1,3.77,3.21,3.99,,
November,,,,,,,,4.63,5.38,5.04,3,,5.97,6.46,2.04,4.37,6.47,3.13,3.98,5.17,6.19,5.21,3.86,5.03,2.1,3.89,3.44,1.62,,
December,,,,,,,2.32,2.53,4.25,3.02,,,3.44,3.73,4.54,2.76,4.23,3.38,6.55,4.47,4.16,3.55,2.96,6.62,5.68,3.8,6.46,3.28,,
Total,,,,,,,,40.42,35.93,41.06,,,,46.07,36.01,33.24,32.09,38,41.6,45.65,38.82,34.69,33.85,46.73,36.24,42.02,44.39,37.26,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941 O+D +T deleted estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943 M+Total Estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
