"STRATHY (BOWSIDE)",,,,,,,,,,,,
Grid ref,NC830609,Long,-4.010452,Lat,58.520465,,,,,,,
Station no,RR2454,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.27,4.28,2.82,2.35,4.03,5.27,3.22,4.61,9.08,,,
February,4.39,2.40,2.88,3.02,4.03,2.29,3.33,4.51,0.63,,,
March,4.11,2.44,1.54,2.33,2.10,1.40,3.61,2.50,1.29,,,
April,3.62,0.82,3.60,1.66,1.72,2.40,1.53,1.76,2.56,,,
May,0.70,1.77,2.81,3.18,3.91,1.77,1.98,5.91,2.41,,,
June,2.03,2.33,2.13,4.34,1.24,2.59,2.96,1.53,,,,
July,3.06,1.96,4.72,4.93,0.87,7.45,6.50,2.15,,,,
August,4.13,3.59,2.75,3.18,0.53,5.34,5.06,3.93,,,,
September,1.06,3.14,2.63,3.72,3.93,2.05,3.09,1.47,,,,
October,2.10,3.20,1.15,6.37,6.10,3.77,3.21,3.99,,,,
November,6.19,5.21,3.86,5.03,2.10,3.89,3.44,1.62,,,,
December,4.16,3.55,2.96,6.62,5.68,3.80,6.46,3.28,,,,
Total,38.82,34.69,33.85,46.73,36.24,42.02,44.39,37.26,,,,
Calc annual,38.82,34.69,33.85,46.73,36.24,42.02,44.39,37.26,15.97,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NaN,NaN,,
