STRATHY (BOWSIDE),,,,,,,,,,
Grid ref,NC830609,Long,-4.010452,Lat,58.520465,Elevation,125,ft,,
Station no,RR2454,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,3.56,4.98,9.65,3.58
February,,,,,,,3.51,5.01,0.7,2.66
March,,,,,,,4.09,2.76,1.4,1.63
April,,,,,,,1.65,1.91,2.76,2.17
May,,,,,,,2.1,6.37,2.54,1.32
June,,,,,,,3.17,1.62,1.64,2.45
July,,,,,,,6.93,2.27,4.03,2.25
August,,,,,,,5.35,4.22,3.24,5.95
September,,,,,,,3.31,1.57,1.73,1.82
October,,,,,,3.92,3.48,4.44,4.9,3.6
November,,,,,,4.41,3.7,1.8,6.71,2.82
December,,,,,,4.22,7.03,3.62,3.95,3.65
Total,,,,,,,47.88,40.57,43.25,33.9
1956 -100 figures deleted,,,,,,,,,,
