"NORTH BERWICK BASS ROCK",,,,,,,,,,,,
Grid ref,NT602873,Long,-2.640988,Lat,56.076852,,,,,,,
Station no,RR2694,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,2.82,1.10,0.05,1.79,1.11,2.78,0.55,,
February,,,,3.67,2.79,0.72,0.25,0.20,0.10,1.24,,
March,,,,1.75,1.38,1.67,1.73,0.60,1.50,1.72,,
April,,,,0.65,0.65,1.14,0.83,0.30,0.90,2.35,,
May,,,,0.65,2.53,1.05,6.23,1.83,0.53,1.37,,
June,,,,1.13,1.30,0.30,0.93,2.60,0.43,1.20,,
July,,,,4.65,1.11,1.41,1.16,0.50,1.30,1.35,,
August,,,,3.32,3.48,1.75,4.79,3.70,0.50,1.35,,
September,,,,2.52,1.17,1.71,0.54,0.25,4.22,0.94,,
October,,,,4.95,0.65,1.64,5.73,2.11,0.65,2.18,,
November,,,,1.00,1.50,2.85,4.00,1.59,0.67,0.15,,
December,,,,1.48,2.07,1.37,0.36,2.50,0.45,1.92,,
Total,,,,28.59,19.73,15.66,28.34,17.29,14.03,16.32,,
Calc annual,0.00,0.00,0.00,28.59,19.73,15.66,28.34,17.29,14.03,16.32,,
Difference,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
