NORTH BERWICK BASS ROCK,,,,,,,,,,,,,,,,,,,,
Grid ref,NT602873,Long,-2.640988,Lat,56.076852,Elevation,150,ft,,,,,,,,,,,,
Station no,RR2694,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,2.82,1.1,0.05,1.79,1.11,2.78,0.55,0.92,0.2,0.83,0.6,0.58,,,,,
February,,,,3.67,2.79,0.72,0.25,0.2,0.1,1.24,2.07,0.62,1.5,0.24,0.67,,,,,
March,,,,1.75,1.38,1.67,1.73,0.6,1.5,1.72,0.69,0.31,1.18,1.15,0.8,,,,,
April,,,,0.65,0.65,1.14,0.83,0.3,0.9,2.35,2,0.56,0.1,1,0.33,,,,,
May,,,,0.65,2.53,1.05,6.23,1.83,0.53,1.37,0.65,0.07,0.56,1.58,0.55,,,,,
June,,,,1.13,1.3,0.3,0.93,2.6,0.43,1.2,0.35,1.32,2.96,0.8,0.29,,,,,
July,,,,4.65,1.11,1.41,1.16,0.5,1.3,1.35,1.63,0.73,1.3,0.55,0.96,,,,,
August,,,,3.32,3.48,1.75,4.79,3.7,0.5,1.35,1.66,1.82,2.8,1,1.32,,,,,
September,,,,2.52,1.17,1.71,0.54,0.25,4.22,0.94,0.65,1,1.35,0.34,0.21,,,,,
October,,,,4.95,0.65,1.64,5.73,2.11,0.65,2.18,2.4,1.02,2.26,2.1,0.99,,,,,
November,,,,1,1.5,2.85,4,1.59,0.67,0.15,1.97,4.42,1.46,0.79,0.49,,,,,
December,,,,1.48,2.07,1.37,0.36,2.5,0.45,1.92,0.89,2.17,1.15,0.42,0.42,,,,,
Total,,,,28.59,19.73,15.66,28.34,17.29,14.03,16.32,15.88,14.24,17.45,10.57,7.61,,,,,
