"BRAEMORE, FOICH LODGE",,,,,,,,,,,,
Grid ref,NH1862283073,Long,-5.053768,Lat,57.800424,,,,,,,
Station no,RR60,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,3.20,4.50,4.40,,,,,,,
February,,,5.50,4.30,2.70,,,,,,,
March,,,6.00,4.90,0.48,,,,,,,
April,,,1.20,4.15,8.10,,,,,,,
May,,,3.40,2.40,3.05,,,,,,,
June,,,1.60,4.31,2.40,,,,,,,
July,,,2.90,4.50,0.95,,,,,,,
August,,,3.40,6.10,3.55,,,,,,,
September,,,4.10,3.60,6.10,,,,,,,
October,,,5.50,3.40,4.03,,,,,,,
November,,,2.10,5.10,3.15,,,,,,,
December,,,5.05,4.50,9.50,,,,,,,
Total,,44.52,43.95,51.76,48.41,,,,,,,
Calc annual,0.00,0.00,43.95,51.76,48.41,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,44.52,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,,
