BRAEMORE FOICH LODGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NH186830,Long,-5.0538,Lat,57.8006,Elevation,100,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,4.72,,4.82,4.59,7.69,7.46,6.68,4.2,4.66,5.14,4.43,6.01,2.1,6.14,5.2,12.11,4.46,6.3,4.4,1.87,1.92,13.6,4.87,9.9,4.84,5.26,,7.31,3.26,4.5,4.35,,,3.2,4.5,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,9.05,,6.78,1.59,2.42,2.16,1.93,5.85,9.18,2,1.39,5.57,1.53,3.91,7.59,6.23,5.25,4.02,5.6,3.91,8.75,0.85,4.36,4.58,5.26,13.1,,2.1,2.54,3.95,3.15,,,5.5,4.3,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,3.62,,3.98,1.88,2.45,5.22,2.38,8.82,4.95,5.31,3.96,2.97,5.52,12.47,4.24,3.01,3,2.05,3.79,3.9,4.55,7.55,6.18,1.21,5.19,10.19,9.45,7.16,4.2,4.55,5.73,,,6,4.9,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,3.03,,1.37,3.65,3.18,6.86,1.98,2.95,1.64,1.41,0.58,2.43,2.09,1.46,1.87,0.63,2.1,0.84,3.14,3.96,2.4,3.9,0.73,3.28,0.29,1.19,4.3,7.88,2.64,2.75,3.8,,,1.2,4.15,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,1.47,,1.55,1.47,4.32,0.77,3.67,1.22,1.52,4.93,2.16,2.71,2.11,3.25,3.4,5.45,8.05,5.95,4.5,4.23,2.24,1.27,3.85,2.76,3.02,2.1,3,3.3,2.7,3.14,3.75,,,3.4,2.4,3.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,2.72,,1.69,4.64,2.75,4.5,2.73,3.35,6.03,2.09,2.08,2.1,2.49,4.54,1.47,1.14,5,2.7,0.1,3.9,0.69,4.92,1.45,3.66,1.11,1.81,4.3,3.4,1.5,3.35,0.05,,,1.6,4.31,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,2.65,,3.95,3.07,5.7,2.2,4.34,2.15,5.78,2.53,4.33,6.24,4.97,4.29,5,4.9,4.85,5.71,2.95,2.41,1.25,3.61,4.57,2.29,1.64,4.97,5.82,4.64,1.8,4.5,2.7,,,2.9,4.5,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,2.21,,3.15,1.46,7.31,6.39,3.64,4,5.01,2.21,5.15,1.21,4.68,2.89,6.37,1.2,1.45,3.65,7.16,3.66,4.9,7.15,5.64,4.88,3.98,5.81,5.5,5.91,2.82,3.9,4.6,,,3.4,6.1,3.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,3.7,,5.35,7.18,10.75,6.25,6.85,3,2.44,6.8,1.32,2.16,1.52,5.33,3.85,2.25,5.68,3.29,3.89,1.42,3.79,2.7,3.94,8.97,9.85,1.58,4.15,3.21,3.48,4.05,6.2,,,4.1,3.6,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,,,4.33,8.8,9.58,9.26,3.34,3.81,9.05,5.24,7.36,4.57,1.02,1.01,7.55,8.67,5.4,5.22,4.13,6.35,3.65,14.23,9.02,4.82,7.86,1.29,6.97,7.11,7.02,4.45,7.15,,,5.5,3.4,4.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
