IRLAM (SEWAGE DISPOSAL WORKS),,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ703920,Long,-2.4483553,Lat,53.424542,Elevation,42,ft,,,,,,,,,,,,,
Station no,2820,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,1.88,4.17,4.1,3.15,1.83,1.66,1.5,4.07,2.94,4.01,5.22,1.88
February,,,,,,,,,,0.56,0.29,3.13,0.07,2.77,0.36,2.43,1.8,3.93,0.68,3.22,1.51
March,,,,,,,,,,0.92,3.3,0.15,1.98,2.15,1.75,1.1,1.62,1.33,1.29,1.6,2.93
April,,,,,,,,,,0.55,1.93,2.57,2.37,0.98,2.01,2.35,0.79,2.44,0.4,2.46,1.68
May,,,,,,,,,,2.33,1.33,2.72,4.43,1.34,1.94,1.11,0.7,1.78,3.85,1.27,1.45
June,,,,,,,,,,1.17,2.59,3.67,0.41,3.68,2.47,3.7,3.36,1.24,3.37,2.86,1.03
July,,,,,,,,,,,5.01,2.79,3.18,2.18,2.41,0.91,2.74,2.04,4.16,5.69,3.01
August,,,,,,,,,,,5.69,7.2,1.25,1.42,3.22,1.06,1.67,2.41,3.03,1.94,1.07
September,,,,,,,,,,,3.23,2.71,2.95,0.91,2.67,5.72,4.79,0.59,1.64,1.03,3.66
October,,,,,,,,,,,4.92,1.08,6.95,4.38,4.42,4.87,3.19,1.88,5.87,2.46,1.35
November,,,,,,,,,,6.31,4.27,5.93,2.75,1.04,1.48,4.75,3.45,1.45,4.41,5.09,7.47
December,,,,,,,,,,6.01,3.36,1.34,1.27,0.54,4.26,1.59,2.85,1.92,3.75,2.62,2.56
Total,,,,,,,,,,,40.09,37.39,30.76,23.22,28.65,31.09,31.03,23.95,36.46,35.46,29.6
