FOREST-OF-DEAN-SERRIDGE-LODGE (SALLOWVALLETS LODGE),,,,,,,,,,
Grid ref,SO6067914220,Long,-2.5719403,Lat,51.825207,Elevation,600,ft,,
Station no,2132/5,,,,,,,,,
,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,8.3,2.46,,,,,,
February,,0.62,2.05,0.37,,,,,,
March,,,1.35,0.15,,,,,,
April,,2.33,0.88,1.15,,,,,,
May,2.24,,4.31,1.34,,,,,,
June,1.93,0.42,2.01,2.07,,,,,,
July,2.99,1.52,1.88,,,,,,,
August,3.99,3.99,3.36,,,,,,,
September,0.88,2.69,3.61,,,,,,,
October,2.37,2.37,2.26,,,,,,,
November,3.71,1.23,1.94,,,,,,,
December,2.85,4.94,2.11,,,,,,,
Total,,,34.06,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1941 Jan-Apr estimated,,,,,,,,,,
1942 Jan Mar May estimated,,,,,,,,,,
1944 Jul Gauge moved,,,,,,,,,,
