LITTLEBOROUGH (BLACKSTONE EDGE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD966182,Long,-2.052925,Lat,53.660277,Elevation,1268,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,2.31,,,2.9,1.5,2.05,1.12,,1.47,1.4,0.65,1.92,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,3.7,2.2,2.5,3.2,2,5,4,3.6,5.2,2.2,6.1,4.2,1,1.1,1,3.9,7.5,6.2,3.3,5.4,2,1.7,2.1,3.2,2.1,3,0.9,3,3.2,1.8,1.4,3,7,5.7,2.2,2.9,3.7,2.9,0.8,3.7,1,2.65,2.06,3.95,1.38,-999,3.07,2.31,5.56,3.64,-999,1.54,-999,3.77,5.95,2.72,,3.4,4.81,5.48,4.8,12.62,2.11,6.89,5.18,5.54,3.38,3.66,1.78,4.04,4.34,5.5,7.12,2.68,1.57,4.33,6.54,7.27,4.12,5.76,3.71,9.84,2.48,2.59,4.87,4.2,1.93,4.81,3.43,5.94,5.63,5.11,2.92,3.97
February,,,,,,,1.38,,,3.5,0.75,0.3,4,,0.82,1.2,2.93,1.62,1.33,1.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3.8,2.9,5.1,1.5,3.5,3.2,0.5,1.5,1.3,5,6,1.7,3.3,3.4,5.1,3.2,3.1,4.1,3.7,0.7,1,0.5,2.8,0.8,0.3,1.9,3.6,4.8,0.1,1,2.9,3.5,1.3,3.9,1,1.6,3.2,2.9,0.8,2.1,1.37,1.8,1.2,1.25,3.23,-999,1.12,2.22,3.43,-999,-999,3.37,-999,2.89,0.82,3.78,,1.65,7.17,4.39,2.02,6,0.8,0.91,6.4,0.24,4.69,0.36,5.79,2.79,6.35,2.53,5.22,3.22,6.42,1.55,3.44,2.62,6.15,7.37,0.86,3.89,3.85,5.69,3.28,1.38,2.11,2.84,2.59,1.74,3.14,6.89,0.58,2.95
March,,,,,,,1.98,,,3.2,2.5,2.48,2.8,,2.25,0.55,0.4,3.4,1.42,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,1.5,3.2,1.4,2.4,1,3.6,2.5,3.7,1,3.6,4.3,2.3,2.1,3.6,5,5,0.9,2.2,2.1,3.1,1.7,2.8,2.5,2.9,1.7,0.5,1.3,3,3.5,5.4,4.7,2.4,2.1,0.6,3.1,1.6,4.7,1.6,2.6,2.1,2.55,2.48,2.35,0.5,1.46,4.21,3.95,4.07,-999,-999,-999,1.31,-999,2.46,2.9,2.37,,2.17,1.86,2.44,4.85,2.94,1.48,3.48,0.34,2.29,2.87,3.14,1.74,2.96,4.86,1.44,3.15,3.44,4.08,2.51,1.77,0.67,1.55,1.57,6.96,2.36,1.79,3.24,5.73,3.17,2.47,3.19,2.57,2.25,4.57,2.64,1.62,1.16
April,,,,4.21,,,1.89,,,3.2,1,2.26,4.45,,2.75,1.69,0.85,0.67,3.93,2.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,4.3,1.3,2.1,1.1,4,4.1,0.3,1.6,1.1,2.4,2.6,1.8,2.1,3.2,1.2,6,2.2,1.8,2.9,1.6,1.3,2.4,2.5,1.4,2.2,1,0.6,2.5,2.2,1.5,3.2,2.2,3.8,2.5,2.4,2,1.2,2.2,1.8,1,1.98,1.55,3.6,2.5,1.6,1.14,3.62,1.02,-999,2.35,-999,1.15,1.52,5.08,1.2,2.93,,2.24,3.32,2.02,3.59,1.22,1.34,3.55,4.22,3.79,1.64,2.91,3.72,1.53,3.1,0.86,2.44,2.91,2.58,2.35,2.9,3.2,2.93,2.11,4.97,2.13,5.21,4.37,2.93,3.91,4.07,0.95,2.74,3.52,0.65,1.51,3.83,2.69
May,,,,14.89,,,1.77,,,3.5,2.9,1.56,1.4,,1.25,4.45,0.7,1.5,0.6,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3.4,1.4,6.2,2,1.7,2.5,2.3,1.9,2.2,1.2,4.3,4.3,2.2,2.9,4.4,2.5,1,1.6,2.2,5.7,1.7,0.4,2.4,3.2,3.2,3.7,2.8,2.8,0.5,0.4,1.5,3.1,3,1.1,2,2.6,4.2,1.6,0.8,2.3,3.23,2.38,2.08,2,1.21,3.07,2.91,1.47,3.36,2.6,1.76,2.12,2.14,4.19,2.05,1.06,,5.56,4.97,4.82,2.13,1.88,3.73,2.41,3.63,5.49,2.12,3.67,0.91,1.24,2.61,4.2,1.75,1.32,2.62,3.54,3.42,4.39,4.61,2.42,2.54,1.63,4.52,2.54,3.39,2.28,3.47,3.76,4.67,2.28,2,4.83,1.8,1.75
June,,,,4.52,,,2.02,,,0.25,2,0.7,1.03,,3.09,2.77,0.4,1.93,2.18,2.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2.2,0.5,0.7,1.9,4.2,7.2,1.6,0.9,3.8,3.7,2.6,2.9,6.6,3.9,2.6,6.7,4.8,1.1,5,2.2,0.6,2.3,0.8,2.8,2.3,3.8,2.4,3.3,3.6,2.2,4.2,3.3,1.3,4,,1.5,1.1,1.8,2.2,1.6,6,1.76,2.26,3.74,2.63,5.53,2.41,2.08,0.54,2.1,2.21,0.82,1.75,2.5,0.24,2.4,,3.24,0.19,2.92,4.46,8,1.68,2.62,6.67,0.93,3.09,2.74,5.61,5.2,3.43,5.85,3.96,1.03,1.33,1.13,4.58,3.86,4.98,4.98,3.7,5.55,0.98,2.52,1.54,4.08,3.21,3.68,4.09,3.99,3.02,6.17,2,1.76
July,,,,5.43,,,4.8,,,2.22,1.2,0.9,7.94,,0.95,0.61,2.25,1.8,8.01,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4.9,0.5,1.8,1.1,4.8,4.3,4.2,2.2,5.5,3,4.5,0.5,6.1,7.4,5,5.3,1.6,4,1.4,5,1.6,5.6,3.9,3.2,2.5,1.9,3.1,3,4.9,2.5,1.9,0.9,2.7,2.5,,2.3,3.6,1.5,2.3,1.6,2.37,3.68,5,3.88,0.6,2.79,1.05,2.15,5.1,2.13,1.73,3.61,2.07,8.25,2.31,4.01,,4.41,2.22,3.91,3.23,2.14,2.73,7.4,5.13,3.85,3.26,3.46,2.01,3.71,2.6,5.73,7.78,4.33,2.04,4.07,3.49,4.58,2.99,5.3,3.27,2.39,2.65,4.7,5.71,2.71,7.49,6.81,1.12,9,5.86,5.47,2.6,5.45
August,,,,4.84,,,2.53,,,1.5,5.62,3,2.7,,2.48,4.69,2.15,2.59,4.69,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,2.3,4.1,2.1,2.4,1.1,3.7,4.1,5.4,3.4,4.1,4.4,5.8,5,3.6,5.9,4.4,1.9,2,1.3,1.8,1.1,3.9,5.2,4.9,6.2,3.6,2.4,6.1,3.9,2.1,3.5,6.4,1,5.9,,3.7,4.5,4.9,5.7,4.1,3.28,3.22,3.22,4.73,2.22,7.41,2.1,3.22,5,2.74,6.02,2.02,3.04,2.21,5.45,4,,6.87,4.58,5.18,9.5,5.18,6.22,8.21,5.94,1.35,1.79,3.34,2.08,2.75,2.66,5.71,3.58,2.48,8.21,4.45,7.19,4.18,3.69,8.03,0.43,5.75,5.07,6.74,6.74,6.07,6.15,8.36,1.58,13.44,7.5,6.93,0.61,4.28
September,,,,9.84,,,3.93,,,2,1.5,4.5,2,,4.5,2.6,3.04,2.28,2.35,3.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,3.1,3.5,5.5,2.5,5.5,5.9,2.6,3.9,6.4,4.9,4.8,4.8,2.2,5,4.2,2.5,6,2,6.4,4,5.3,1.2,2.5,1.1,2.8,3.6,3.5,0.5,1.7,7.5,4.6,1,7.4,1.9,1,2.4,5,0.5,2,0.8,0.76,3.27,2.53,0.22,3.73,2.45,1.65,2.9,1.43,2.23,1.52,7.82,1.71,2.28,1.88,3.03,,5.29,4.36,3.96,6.78,0.79,2.12,4.85,3.56,5.64,1.45,4,8.53,5.37,2.63,1.93,1.71,4.95,0.87,2.95,5.54,6.45,3.57,8.69,3.66,3.73,1.65,8.37,3.56,4.67,4.22,7.74,3.76,5.39,6.61,5.96,0.45,2.93
October,,,,19.22,,,4.56,,,1.25,2.95,5,2.2,,6.27,3.05,3.12,4.94,2.25,2.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,2.9,4.5,3.4,10.4,4.9,5.8,4.9,5.3,5.8,3.7,6,4.2,2.9,7.5,6.8,4.6,5.1,2.5,7.1,4.8,1.9,1.4,5,3.3,5.1,7.7,3.5,6.6,3.9,4.8,2.8,5,3.4,5.5,3.3,4.5,8,1.7,2.5,6,5.64,2.49,4.35,2.53,2.91,4.71,2.38,2.4,1.63,5.42,5.2,2.65,2,2.02,2.79,1.05,,5.96,5.87,4.65,5.43,6.09,6.1,6.76,3.15,6.98,5.14,5.59,9.02,5.3,2.77,11.44,2.71,4.94,5.55,7.77,3.53,5.23,7.48,1.27,1.62,3.26,6.21,2.77,1.65,6.93,2.88,10.96,3.59,3.75,8.38,6.03,3.9,4.28
