HARTING-DOWN-PLACE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU791185,Long,-0.87507801,Lat,50.960506,Elevation,401,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,5.13,6.72,2.25,3.61,5.45,6.97,2.65,8.35,1.64,6.32,3.45,4.94,2.9,2.87,0.93,6.1,7.93,4.85,6.89,3.5,3.02,4.34,7.21,2.69,1.8,3.8,4.84,7.31,1.26,
February,,0.76,4.4,7.53,0.53,6.97,2.62,5.61,2.79,1.34,1.28,2.52,0.38,4.67,0.05,4.38,3.09,6.32,0.5,2.06,4.22,4.43,0.46,1.78,0.73,2.81,3.13,2.53,1.81,1.98,
March,,2.11,3.23,2.45,2.26,0.47,0.73,4.29,3.27,0.09,1.34,0.89,1.87,4.42,3.37,0.89,2.48,4.04,0.63,1.38,3.77,3.78,3.1,0.73,0.28,1.13,1.22,8.96,1.08,1.72,
April,,1.24,4.74,4.3,3.99,3.99,3.73,2.57,2.13,0.64,3.09,3.68,4.17,1.14,2.7,4.42,2.8,3.36,0.02,2.63,1.1,2.03,2.3,1.41,1.8,1.17,2.78,3.02,1.94,1.96,
May,,3.73,1.5,2.92,5.28,6.28,2.74,1.38,1.41,3.64,2.14,3.06,4.54,2.58,0.78,0.99,0.45,2.4,2.35,1.49,1.16,2.73,3.54,3.8,1.41,2.34,3.96,1.18,3.65,2.44,
June,,0.21,1.73,0.42,3.74,0.08,3.06,4,3.47,2.01,0.49,2.18,2.16,1.66,1.7,3.77,3.39,1.35,0.76,2.03,0.26,1.61,0.25,2.32,2.53,3.15,4.81,2.33,3.47,0.79,
July,,0.6,4.94,1.19,5.15,4.23,2.51,3.94,1.94,2.01,3.47,3.67,5.77,2.93,1.14,1.62,4.92,1.5,2.72,4.13,2.91,2.94,1.83,2.79,3.18,5.14,2.05,1.53,1.64,0.24,
August,,3.39,3.35,2.98,3.98,5.23,1.87,5.44,2.38,3.04,4.75,4.56,1.4,1.3,3.08,3.19,1.04,2.64,1.63,2.83,0.13,5.51,5.11,1.72,1.72,3.07,6.5,0.51,4.34,1.81,
September,,1.29,2.96,2.75,6.61,3.23,0.57,6.76,1.33,0.73,3.52,3.35,3.84,2.84,3.4,5.06,2.8,2.63,2.46,0.83,1.61,0.18,2.51,2.22,2.73,2.66,5.88,1.9,3.67,2.51,
October,,0.75,1.44,8.17,5.42,5.36,2.86,4.04,10.17,5.45,2.51,0.77,7.21,2.22,2.3,5.35,1.29,4.15,5.21,6.99,4.96,1.32,4.35,4.09,5.25,5.39,1.31,1.17,2.65,8.8,
November,,2.81,2.85,1.92,3.54,5,9.97,4.53,4.45,10.69,6.81,5.42,2.08,0.8,3.64,8.34,4.87,2.76,5.75,7.99,9.92,3.76,1.88,2.4,6.69,0.4,7.67,1.68,1.87,4.58,
December,,3.1,5.7,4.69,6.68,4.41,0.19,5.89,4.29,9.36,4.87,0.83,1.43,0.86,11.71,4.49,3.33,4.48,4.21,2.93,2.74,2.96,5.12,2.76,3.25,5.62,4.5,3.28,5.89,2.63,
Total,,25.12,43.56,41.57,50.79,50.7,37.82,51.1,45.98,40.64,40.59,34.38,39.79,28.32,36.74,43.43,36.56,43.56,31.09,42.18,36.28,34.27,34.79,33.23,32.26,34.68,47.61,32.93,39.32,30.72,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snow estimates kept,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928 Apr IDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
