"SUDBURY FRIARS STREET",,,,,,,,,,,,
Grid ref,TL872410,Long,0.727789,Lat,52.035798,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.80,0.70,0.79,1.87,2.08,0.99,3.30,1.17,0.83,0.84,,
February,2.89,0.79,0.95,0.49,2.69,1.08,2.26,1.10,1.57,0.81,,
March,1.04,2.35,1.20,1.92,1.74,1.89,1.70,1.10,1.93,2.76,,
April,1.39,1.93,0.93,2.45,0.82,1.82,1.28,3.25,2.48,1.91,,
May,0.95,1.19,2.94,2.57,1.58,1.02,1.35,2.07,1.13,0.82,,
June,2.60,2.67,2.86,4.76,1.16,2.65,2.16,1.69,0.73,3.45,,
July,1.54,1.68,1.81,4.32,2.31,0.64,0.96,2.05,3.64,3.73,,
August,2.77,1.02,3.81,3.34,1.32,2.23,0.65,2.31,2.07,2.18,,
September,0.43,1.12,0.94,2.26,1.07,1.60,1.21,0.56,0.67,1.66,,
October,1.92,2.51,2.04,4.51,0.76,1.11,4.31,2.55,1.49,3.47,,
November,1.79,0.94,1.59,1.96,1.14,2.04,4.04,2.24,1.15,0.82,,
December,2.59,2.98,1.20,1.23,1.67,0.78,2.42,2.85,1.64,3.62,,
Total,22.71,19.88,21.06,31.68,18.34,17.85,25.64,22.94,19.33,26.07,,
Calc annual,22.71,19.88,21.06,31.68,18.34,17.85,25.64,22.94,19.33,26.07,,
Difference,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,,
